material,x_alaee,ratio_ED,ratio_MD,ratio_EQ,ratio_MQ
dielectric_eps6.25,0.2,0.999999028021886,1.0000039681745498,1.0000251037097008,0.9999659902517548
dielectric_eps6.25,0.3,0.9999990219978119,0.999999108889275,1.0000325232452827,1.0000060668392345
dielectric_eps6.25,0.385,1.000001193923645,0.9999969999749998,0.9999927354780811,1.0000119701416788
dielectric_eps6.25,0.5,1.0000020004694434,1.0000042994910836,0.9999831741248633,1.0000022014992649
dielectric_eps6.25,0.6,0.9999181875605403,1.0000349502665145,0.9999964730425827,1.0000068270052052
dielectric_eps6.25,0.65,0.9990706468176953,1.0000781061446884,1.0000114304094614,1.000017259284981
dielectric_eps6.25,0.7,1.000486956324599,1.000011991150531,0.9999418866030055,1.0000371360480986
dielectric_eps6.25,0.8,1.0004085526389155,1.000020018619338,1.0020200596900404,1.0001872059620742
dielectric_eps6.25,1.0,0.9997625187158267,1.0003832370061938,1.0003972023566357,0.9999544096969569
gold_olmon_ev,0.2,1.0001185557954206,1.000169922746437,1.0001608265672166,1.0002478306984686
gold_olmon_ev,0.3,1.000108894248226,1.0001628996690217,1.0001608254101542,1.000240066748964
gold_olmon_ev,0.385,1.0000965785810747,1.0001538851293748,1.0001533873346815,1.000228853494855
gold_olmon_ev,0.5,1.0000669869413081,1.0001282021009292,1.0001276564504649,1.0001978609089666
gold_olmon_ev,0.6,1.0000343631342123,1.0001019219668656,1.0000988625826945,1.0001634698139774
gold_olmon_ev,0.65,1.0000161741246276,1.0000881242362325,1.000083145874578,1.0001440348392467
gold_olmon_ev,0.7,0.9999970900562115,1.000073625983783,1.0000668996478905,1.0001232867245704
gold_olmon_ev,0.8,0.9999597414463426,1.0000438577309767,1.0000348460706352,1.0000833178493582
gold_olmon_ev,1.0,1.0000362506443543,0.9999847907011754,0.9999922536571924,1.000013391623074
