x_alaee,lambda_nm,mie_ED_min,mie_ED_max,mie_MD_min,mie_MD_max,mie_EQ_min,mie_EQ_max,mie_MQ_min,mie_MQ_max,table2_ED_min,table2_ED_max,table2_MD_min,table2_MD_max,table2_EQ_min,table2_EQ_max,table2_MQ_min,table2_MQ_max
0.29411764705882354,1700.0,0.8535435839335405,0.8662231251429356,0.058970860197384005,0.06069915989469944,0.0024785874091193937,0.0025094100328492664,0.0003003729831244299,0.00031630905721140214,0.8541031436725603,0.8663178263449355,0.05898047572628203,0.060756641284789234,0.0024809054636331564,0.0025114735881699617,0.00030044514908717965,0.00031673647336789585
0.2976647945610405,1679.74180734856,0.8963227402308914,0.9093926663364686,0.0625164867828715,0.06447505000472441,0.0028244881571680017,0.0028330792733104017,0.00033552840967176914,0.0003563063253960644,0.8969088955469875,0.9094917544774155,0.06252666587526652,0.06453606469134875,0.002827129644492006,0.0028353973710036288,0.00033560892611837924,0.00035678748175393477
0.30121194206325747,1659.9607458292444,0.9391018965282425,0.9526595573752294,0.06622325658603602,0.06825094011474937,0.00317038890521661,0.0032050803219414517,0.00037426555333547204,0.0003963035935807267,0.9397146474214145,0.9527631369012134,0.06623403552187619,0.06831548809790826,0.0031733538253508557,0.0032076889193965604,0.000374355336954014,0.0003968384901399737
0.30475908956547443,1640.6401551891367,0.9818470377912674,0.9961201164629584,0.07006597993468243,0.07221669262848929,0.003567667919042879,0.003583980122871444,0.0004165794769827164,0.0004413681757510984,0.9824856480534512,0.996227966256223,0.0700773599698887,0.07228489577031356,0.0035710012862873062,0.0035845553318585126,0.0004166792291816835,0.0004419631358782125
0.3083062370676914,1621.76414189837,1.0245554786225193,1.0393005535356883,0.07410233498612565,0.07638729668307952,0.004020381377523992,0.00405052681926261,0.00046355779044249804,0.0004919001230113144,1.025219153923961,1.0394128822664288,0.07411437179365184,0.0764592864663946,0.004024131759939063,0.004053790503720057,0.00046366880042382144,0.0004925619692859302
0.31185338456990835,1603.3175355450237,1.0672639194537714,1.0824185645112245,0.07828907308742407,0.08055790073766976,0.004473094836005106,0.004543625812527402,0.0005150723892505383,0.0005424320702715306,1.067952659794471,1.082535059617748,0.07830176354917316,0.08063367716247563,0.004477262233590821,0.004547268437719058,0.0005151955114965598,0.0005431608026936479
0.3154005320721253,1585.285848172446,1.1093524376747046,1.1251966289543833,0.08263846134219985,0.08510812715602686,0.005056865886582448,0.0050758231333193115,0.0005713847428915002,0.000604928232618557,1.1100630826176452,1.125317193465912,0.08265182717731998,0.08518778254760526,0.005061554067930241,0.00507663581078599,0.0005715210629538256,0.0006057371459264363
0.31894767957434234,1567.655236329935,1.1514164852662836,1.1673576985997176,0.08717575801643991,0.08967333866769063,0.0056458102631636,0.005714974013786848,0.0006331571297854209,0.0006678966666137482,1.1521489100573725,1.1674824452156123,0.08718984897834288,0.08975687667046056,0.005651023324402079,0.005719507271508726,0.0006333081091933836,0.0006687862855996891
0.3224948270765593,1550.412465627864,1.1928865137545186,1.2089993802466386,0.0918771668308676,0.09443164688519325,0.006310814236100446,0.0063634981735216705,0.0007004134636242863,0.0007375807154185256,1.1936396819803763,1.2091281363868276,0.09189199901337777,0.09451917496799242,0.006316614259911846,0.006368521810443599,0.0007005802923695288,0.0007385588353325577
0.32604197457877626,1533.5448776065275,1.2336097753699786,1.2500845395638045,0.09673753638201511,0.09943270524717907,0.007071435987313032,0.007120110566059539,0.0007734417675135839,0.0008157072514124982,1.2343823841109283,1.250217039294894,0.09675311569652745,0.09952435851368914,0.007077901020497876,0.007125700506270668,0.0007736256087521537,0.000816783671997516
