panel,channel,effective_points,calibration_status,statistical_calibration_algorithm,independent_calibration_sample,axis_calibration,interpolation_calibration,physics_calibration,nominal_error_q90_in_sample,nominal_error_q95_in_sample,additional_width_q90_in_sample_over_primary,additional_width_q95_in_sample_over_primary,calibrated_interval_lower,calibrated_interval_upper,calibrated_effective_coverage,coverage_target,gate_status,interpretation
a,ED,4000,NOT_ESTABLISHED,null_by_A5_v2_SPEC,False,missing_independent_semantic_nuisance_calibration,local_Mie_conditional_only,missing_independent_uncertainty_bound,0.01224696934928593,0.014826643562610986,0.011870640954816408,0.014538592436838286,,,,,UNRESOLVED_MODEL_INVALID,same-sample diagnostics only; not a calibrated uncertainty interval
a,MD,4000,NOT_ESTABLISHED,null_by_A5_v2_SPEC,False,missing_independent_semantic_nuisance_calibration,local_Mie_conditional_only,missing_independent_uncertainty_bound,0.011126429986894948,0.01458662303516678,0.01078387640644404,0.013965388217948311,,,,,UNRESOLVED_MODEL_INVALID,same-sample diagnostics only; not a calibrated uncertainty interval
a,EQ,4000,NOT_ESTABLISHED,null_by_A5_v2_SPEC,False,missing_independent_semantic_nuisance_calibration,local_Mie_conditional_only,missing_independent_uncertainty_bound,0.014868718521777957,0.02057005207732665,0.014468775802453366,0.019969778375082528,,,,,UNRESOLVED_MODEL_INVALID,same-sample diagnostics only; not a calibrated uncertainty interval
a,MQ,4000,NOT_ESTABLISHED,null_by_A5_v2_SPEC,False,missing_independent_semantic_nuisance_calibration,local_Mie_conditional_only,missing_independent_uncertainty_bound,0.02049463509787941,0.035282409508380574,0.0175946019954785,0.03258428802614816,,,,,UNRESOLVED_MODEL_INVALID,same-sample diagnostics only; not a calibrated uncertainty interval
b,ED,4000,NOT_ESTABLISHED,null_by_A5_v2_SPEC,False,missing_independent_semantic_nuisance_calibration,local_Mie_conditional_only,missing_independent_uncertainty_bound,0.011198386452401454,0.01315445455132247,0.01048646088679895,0.012200065678262914,,,,,UNRESOLVED_MODEL_INVALID,same-sample diagnostics only; not a calibrated uncertainty interval
b,MD,4000,NOT_ESTABLISHED,null_by_A5_v2_SPEC,False,missing_independent_semantic_nuisance_calibration,local_Mie_conditional_only,missing_independent_uncertainty_bound,0.008168599155979894,0.009387875150458802,0.007249203690133449,0.008540618031230632,,,,,UNRESOLVED_MODEL_INVALID,same-sample diagnostics only; not a calibrated uncertainty interval
b,EQ,4000,NOT_ESTABLISHED,null_by_A5_v2_SPEC,False,missing_independent_semantic_nuisance_calibration,local_Mie_conditional_only,missing_independent_uncertainty_bound,0.012040708764983865,0.013373389471942776,0.009523762476656957,0.011748794062524002,,,,,UNRESOLVED_MODEL_INVALID,same-sample diagnostics only; not a calibrated uncertainty interval
b,MQ,4000,NOT_ESTABLISHED,null_by_A5_v2_SPEC,False,missing_independent_semantic_nuisance_calibration,local_Mie_conditional_only,missing_independent_uncertainty_bound,0.007730990557802686,0.009372622477493958,0.0073394777834108775,0.009187900148851109,,,,,UNRESOLVED_MODEL_INVALID,same-sample diagnostics only; not a calibrated uncertainty interval
