x_alaee,lambda_nm,source,n,kappa,mie_ED,mie_MD,mie_EQ,mie_MQ,table2_ED,table2_MD,table2_EQ,table2_MQ,abs_err_ED,abs_err_MD,abs_err_EQ,abs_err_MQ,rel_err_ED,rel_err_MD,rel_err_EQ,rel_err_MQ
0.2,2500.0,olmon,0.778389,17.184444,0.10512219295231887,0.008112460669213714,5.236244271831842e-05,7.734969242564429e-06,0.1051346557975207,0.008113839160810989,5.237086399023188e-05,7.736886205394447e-06,1.2462845201829942e-05,1.3784915972748363e-06,8.4212719134619e-09,1.916962830018012e-09,0.000118555795420695,0.00016992274643698755,0.00016082656721657892,0.00024783069846861703
0.20402010050251257,2450.7389162561576,olmon,0.7484487536945813,16.8315930591133,0.11888016748779923,0.00902235053623871,6.38871700366047e-05,9.367350180800161e-06,0.11889419065279562,0.009023878227574922,6.389744016106226e-05,9.369665395234574e-06,1.4023164996393445e-05,1.5276913362116673e-06,1.0270124457559759e-08,2.31521443441301e-09,0.0001179605084071963,0.0001693229862967107,0.00016075409901041793,0.00024715788240290207
0.20804020100502513,2403.381642512077,olmon,0.7205628888888888,16.50034133816425,0.13402866377635805,0.01001207730775928,7.764677858135823e-05,1.1303848671961696e-05,0.13404442024207283,0.010013769143468737,7.76592722415516e-05,1.1306638529277707e-05,1.5756465714777956e-05,1.6918357094580783e-06,1.2493660193370597e-08,2.7898573160112087e-09,0.00011756041783024411,0.00016897948921618087,0.00016090378019069715,0.0002468059682125106
0.2120603015075377,2357.81990521327,olmon,0.6940612085308056,16.178991061611374,0.15066480106810104,0.011082940923217884,9.402321053922556e-05,1.3585799148860659e-05,0.15068244156532754,0.011084808855989007,9.40383416175037e-05,1.3589145782480315e-05,1.764049722649541e-05,1.8679327711233762e-06,1.5131078278147352e-08,3.3466336196568016e-09,0.00011708439596665875,0.0001685412548947369,0.0001609291811178349,0.00024633321772149556
0.21608040201005027,2313.953488372093,olmon,0.6688982558139535,15.872151162790699,0.16886467622640375,0.01224125438624607,0.00011344865873508752,1.6269989059276333e-05,0.16888437746728752,0.012243313182324292,0.00011346692490470899,1.627399085207951e-05,1.9701240883768234e-05,2.058796078221667e-06,1.8266169621471346e-08,4.001792803178688e-09,0.00011666881033990778,0.0001681850579410287,0.00016100824659482702,0.00024596161611412185
0.22010050251256283,2271.689497716895,olmon,0.6454961187214612,15.575981735159816,0.18871102873655213,0.013490490429282662,0.00013642099094154724,1.941381855951274e-05,0.18873296268149165,0.013492754174895814,0.0001364429596025842,1.9418585726583046e-05,2.193394493951728e-05,2.2637456131516936e-06,2.1968661036966732e-08,4.767167070306649e-09,0.00011623032891277336,0.0001678030628329103,0.0001610357825826065,0.00024555535304365687
0.2241206030150754,2230.9417040358744,olmon,0.623069394618834,15.289562780269058,0.21027826541957895,0.014835058722187914,0.00016350725998465822,2.308340115799066e-05,0.21030260761275316,0.014837541898069791,0.0001635335853137678,2.308905893855654e-05,2.434219317420938e-05,2.483175881877811e-06,2.6325329109574665e-08,5.657780565876831e-09,0.000115761812689667,0.00016738564561014327,0.00016100403805950118,0.00024510168701540356
0.22814070351758794,2191.6299559471363,olmon,0.6016313568281937,15.011642449339206,0.233634309904737,0.016279155051978585,0.00019535363268517435,2.735176298034646e-05,0.2336612346284084,0.016281872146468108,0.00019538506281370328,2.73584523173806e-05,2.6924723671412076e-05,2.7170944895231475e-06,3.143012852893168e-08,6.689337034139709e-09,0.00011524302095180486,0.00016690635852091776,0.0001608883750812224,0.00024456694213628255
0.23216080402010053,2153.6796536796533,olmon,0.5817153290043288,14.744153424242421,0.2588278186804833,0.01782885043744939,0.00023269003757479164,3.230599525012492e-05,0.2588575163345455,0.017831818051834883,0.00023272744826474776,3.2313879783949604e-05,2.9697654062188494e-05,2.9676143854934223e-06,3.741068995612314e-08,7.884533824686598e-09,0.0001147390346740492,0.0001664501250882652,0.00016077478153356063,0.000244057914441008
0.2361809045226131,2117.0212765957444,olmon,0.5625098510638297,14.483008978723403,0.2859161959792852,0.019486635426305778,0.0002763527111708262,3.8031012755215906e-05,0.28594883366229856,0.019489868023770184,0.0002763970758210818,3.804026993783504e-05,3.263768301337011e-05,3.2325974644066557e-06,4.43646502555628e-08,9.25718261913361e-09,0.00011415122148496524,0.0001658879223471716,0.00016053633079119307,0.0002434114147502948
