x_2a_over_lambda,lambda_nm,material_covered,ED_exact,ED_approx,ED_error_percent,MD_exact,MD_approx,MD_error_percent,EQ_exact,EQ_approx,EQ_error_percent,MQ_exact,MQ_approx,MQ_error_percent,total_exact,total_approx
0.25,2000.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.2525,1980.19801980198,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.255,1960.7843137254902,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.2575,1941.7475728155339,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.26,1923.076923076923,1.0,2.2057743283716067,1.6350666077618494,25.873350381726368,0.1319508160657996,27.893695284334047,21039.46401849032,0.002900029849779509,0.0030164943692745794,4.015976577066103,0.00039350446538047226,0.016893189298442156,4193.010825711581,2.341018678752566,29.548671575763613
0.2625,1904.7619047619046,1.0,2.3297682825982355,1.732892461433377,25.619535883594512,0.13847412134266987,29.422990062916107,21148.00632611027,0.0031937153583739726,0.003321328144009594,3.995747000465101,0.00043023742585490297,0.018514681750106367,4203.363825989053,2.471866356725134,31.1777185342436
0.265,1886.7924528301885,1.0,2.4581108735002903,1.8355885552666722,25.32523349311585,0.14523672346746425,31.019260199785823,21257.725139492508,0.0035141162495742066,0.003653678799809789,3.9714835914290787,0.0004699479504237027,0.020273426703630644,4213.972788976358,2.6073316611677524,32.87877586055593
0.2675,1869.1588785046729,1.0,2.590745203975241,1.9433503129305967,24.98875188695829,0.1522440473605946,32.68470069081174,21368.62308080725,0.0038634037480901515,0.004015740790592656,3.943078498534127,0.0005128399866444126,0.02217950587390743,4224.839414147714,2.7473654950705706,34.654246250406835
0.27,1851.8518518518517,1.0,2.7275955208352274,2.056379235530147,24.608351208156574,0.15950154121216276,34.42155057936247,21480.70092474922,0.004243906455115418,0.00440986115259312,3.910423079134255,0.0005591287381488288,0.024243635323090477,4235.966597488199,2.8919000972406543,36.506583311368296
0.2725,1834.8623853211009,1.0,2.8685666481333905,2.17488304364404,24.182237667050146,0.16701466731792775,36.23208331016105,21593.95292761321,0.0046581206088844185,0.004838548610205807,3.873407678136508,0.0006090411001400473,0.02647716886166373,4247.353381500096,3.040848477160343,38.43828207127696
0.275,1818.181818181818,1.0,3.013543663587205,2.299075803154266,23.70856175292527,0.17478891265574187,38.118623144502976,21708.375923466083,0.0051087208653740725,0.005304483103783021,3.8319227761255688,0.0006628161936646075,0.028892175110061147,4259.002599245623,3.1941041133019854,40.45189560587109
0.2775,1801.8018018018017,1.0,3.1623919026712692,2.4291780776703424,23.18541937770527,0.1828297864369272,40.083546653044706,21823.969520618986,0.005598571813367689,0.005810525834207075,3.7858587494279208,0.000720705829785574,0.03150143036826387,4270.913771800104,3.3515409667513496,42.55003668691752
0.28,1785.7142857142856,1.0,3.3149568260514957,2.5654170705889614,22.610845172162453,0.19114281259461918,42.12927639111111,21940.7326957462,0.006130740142965864,0.006359729779187697,3.735105890673987,0.0007829749997597391,0.03431850409079372,4283.09066079052,3.5130133537888404,44.73537169557005
