lambda_nm,jc_n,jc_k,olmon_n,olmon_k,mcpeak_n,mcpeak_k,mean_n,mean_k
2275.000000,nan,nan,0.647350,15.597500,nan,nan,0.647350,15.597500
2280.000000,nan,nan,0.650100,15.635000,nan,nan,0.650100,15.635000
2285.000000,nan,nan,0.652906,15.670625,nan,nan,0.652906,15.670625
2290.000000,nan,nan,0.655750,15.705000,nan,nan,0.655750,15.705000
2295.000000,nan,nan,0.658594,15.739375,nan,nan,0.658594,15.739375
2300.000000,nan,nan,0.661322,15.773333,nan,nan,0.661322,15.773333
2305.000000,nan,nan,0.663878,15.806667,nan,nan,0.663878,15.806667
2310.000000,nan,nan,0.666625,15.842500,nan,nan,0.666625,15.842500
2315.000000,nan,nan,0.669500,15.880000,nan,nan,0.669500,15.880000
2320.000000,nan,nan,0.672437,15.917500,nan,nan,0.672437,15.917500
2325.000000,nan,nan,0.675318,15.954118,nan,nan,0.675318,15.954118
2330.000000,nan,nan,0.678112,15.989412,nan,nan,0.678112,15.989412
2335.000000,nan,nan,0.680906,16.024706,nan,nan,0.680906,16.024706
2340.000000,nan,nan,0.683700,16.060000,nan,nan,0.683700,16.060000
2345.000000,nan,nan,0.686763,16.091250,nan,nan,0.686763,16.091250
2350.000000,nan,nan,0.689689,16.123333,nan,nan,0.689689,16.123333
2355.000000,nan,nan,0.692411,16.156667,nan,nan,0.692411,16.156667
2360.000000,nan,nan,0.695337,16.196250,nan,nan,0.695337,16.196250
2365.000000,nan,nan,0.698400,16.240000,nan,nan,0.698400,16.240000
2370.000000,nan,nan,0.701178,16.273333,nan,nan,0.701178,16.273333
2375.000000,nan,nan,0.703967,16.306667,nan,nan,0.703967,16.306667
2380.000000,nan,nan,0.706800,16.340000,nan,nan,0.706800,16.340000
2385.000000,nan,nan,0.709633,16.373333,nan,nan,0.709633,16.373333
2390.000000,nan,nan,0.712467,16.406667,nan,nan,0.712467,16.406667
2395.000000,nan,nan,0.715435,16.441176,nan,nan,0.715435,16.441176
2400.000000,nan,nan,0.718494,16.476471,nan,nan,0.718494,16.476471
2405.000000,nan,nan,0.721553,16.511765,nan,nan,0.721553,16.511765
2410.000000,nan,nan,0.724589,16.547778,nan,nan,0.724589,16.547778
2415.000000,nan,nan,0.727533,16.586667,nan,nan,0.727533,16.586667
2420.000000,nan,nan,0.730500,16.623333,nan,nan,0.730500,16.623333
2425.000000,nan,nan,0.733500,16.656667,nan,nan,0.733500,16.656667
2430.000000,nan,nan,0.736320,16.688000,nan,nan,0.736320,16.688000
2435.000000,nan,nan,0.739020,16.718000,nan,nan,0.739020,16.718000
2440.000000,nan,nan,0.741900,16.753333,nan,nan,0.741900,16.753333
2445.000000,nan,nan,0.744900,16.792222,nan,nan,0.744900,16.792222
2450.000000,nan,nan,0.747989,16.826667,nan,nan,0.747989,16.826667
2455.000000,nan,nan,0.751100,16.860000,nan,nan,0.751100,16.860000
2460.000000,nan,nan,0.754156,16.898889,nan,nan,0.754156,16.898889
2465.000000,nan,nan,0.757170,16.937000,nan,nan,0.757170,16.937000
2470.000000,nan,nan,0.760020,16.972000,nan,nan,0.760020,16.972000
2475.000000,nan,nan,0.762933,17.006667,nan,nan,0.762933,17.006667
2480.000000,nan,nan,0.766100,17.040000,nan,nan,0.766100,17.040000
2485.000000,nan,nan,0.769160,17.074000,nan,nan,0.769160,17.074000
2490.000000,nan,nan,0.772060,17.109000,nan,nan,0.772060,17.109000
2495.000000,nan,nan,0.775111,17.145556,nan,nan,0.775111,17.145556
2500.000000,nan,nan,0.778389,17.184444,nan,nan,0.778389,17.184444
