lambda_nm,jc_n,jc_k,olmon_n,olmon_k,mcpeak_n,mcpeak_k,mean_n,mean_k
1270.000000,0.374407,8.564186,0.231300,8.655000,0.159382,9.068760,0.255030,8.762649
1275.000000,0.376667,8.603000,0.232750,8.690000,0.161616,9.107640,0.257011,8.800213
1280.000000,0.378927,8.641814,0.234200,8.725000,0.163849,9.146521,0.258992,8.837778
1285.000000,0.381186,8.680627,0.235650,8.760000,0.165030,9.186357,0.260622,8.875661
1290.000000,0.383446,8.719441,0.237100,8.795000,0.166212,9.226192,0.262253,8.913544
1295.000000,0.385706,8.758254,0.238550,8.830000,0.166184,9.264886,0.263480,8.951047
1300.000000,0.387966,8.797068,0.240000,8.865000,0.166156,9.303580,0.264708,8.988549
1305.000000,0.390226,8.835881,0.241500,8.900000,0.168136,9.338018,0.266621,9.024633
1310.000000,0.392486,8.874695,0.243000,8.935000,0.170115,9.372456,0.268534,9.060717
1315.000000,0.394746,8.913508,0.244500,8.970000,0.169955,9.408829,0.269734,9.097446
1320.000000,0.397006,8.952322,0.246000,9.005000,0.169795,9.445201,0.270934,9.134174
1325.000000,0.399266,8.991136,0.247500,9.040000,0.172303,9.488064,0.273023,9.173067
1330.000000,0.401525,9.029949,0.249000,9.075000,0.174810,9.530926,0.275112,9.211959
1335.000000,0.403785,9.068763,0.250500,9.110000,0.175509,9.571684,0.276598,9.250149
1340.000000,0.406045,9.107576,0.252000,9.145000,0.176209,9.612442,0.278085,9.288340
1345.000000,0.408305,9.146390,0.253550,9.179500,0.177897,9.650012,0.279917,9.325301
1350.000000,0.410565,9.185203,0.255100,9.214000,0.179586,9.687582,0.281750,9.362262
1355.000000,0.412825,9.224017,0.256806,9.250375,0.178534,9.728474,0.282722,9.400955
1360.000000,0.415085,9.262831,0.258512,9.286750,0.177483,9.769365,0.283694,9.439649
1365.000000,0.417345,9.301644,0.260219,9.323125,0.180889,9.804362,0.286151,9.476377
1370.000000,0.419605,9.340458,0.261925,9.359500,0.184296,9.839358,0.288608,9.513105
1375.000000,0.421864,9.379271,0.263631,9.395875,0.185297,9.877872,0.290264,9.551006
1380.000000,0.424124,9.418085,0.265337,9.432250,0.186298,9.916386,0.291920,9.588907
1385.000000,0.426384,9.456898,0.267044,9.468625,0.188568,9.954327,0.293999,9.626617
1390.000000,0.428644,9.495712,0.268750,9.505000,0.190838,9.992268,0.296077,9.664327
1395.000000,0.431198,9.534585,0.270456,9.541375,0.190970,10.031919,0.297541,9.702626
1400.000000,0.434194,9.573548,0.272162,9.577750,0.191102,10.071570,0.299153,9.740956
1405.000000,0.437189,9.612512,0.273869,9.614125,0.192732,10.106480,0.301263,9.777705
1410.000000,0.440184,9.651475,0.275575,9.650500,0.194362,10.141389,0.303374,9.814455
1415.000000,0.443180,9.690438,0.277281,9.686875,0.199894,10.182011,0.306785,9.853108
1420.000000,0.446175,9.729401,0.278987,9.723250,0.205427,10.222632,0.310196,9.891761
1425.000000,0.449171,9.768364,0.280694,9.759625,0.206894,10.272067,0.312253,9.933352
1430.000000,0.452166,9.807327,0.282400,9.796000,0.208361,10.321503,0.314309,9.974943
1435.000000,0.455161,9.846290,0.284050,9.830500,0.207459,10.348300,0.315557,10.008364
1440.000000,0.458157,9.885253,0.285700,9.865000,0.206557,10.375098,0.316805,10.041784
1445.000000,0.461152,9.924217,0.287300,9.899500,0.207301,10.420457,0.318584,10.081391
1450.000000,0.464147,9.963180,0.288900,9.934000,0.208044,10.465815,0.320364,10.120998
1455.000000,0.467143,10.002143,0.290550,9.967000,0.206901,10.503162,0.321531,10.157435
1460.000000,0.470138,10.041106,0.292200,10.000000,0.205759,10.540509,0.322699,10.193872
1465.000000,0.473134,10.080069,0.293850,10.035000,0.209082,10.591324,0.325355,10.235464
1470.000000,0.476129,10.119032,0.295500,10.070000,0.212406,10.642139,0.328012,10.277057
1475.000000,0.479124,10.157995,0.297150,10.105000,0.214552,10.674035,0.330275,10.312343
1480.000000,0.482120,10.196959,0.298800,10.140000,0.216698,10.705931,0.332539,10.347630
1485.000000,0.485115,10.235922,0.300450,10.175000,0.218300,10.743196,0.334622,10.384706
1490.000000,0.488111,10.274885,0.302100,10.210000,0.219902,10.780462,0.336704,10.421782
1495.000000,0.491106,10.313848,0.303800,10.245000,0.217651,10.819697,0.337519,10.459515
1500.000000,0.494101,10.352811,0.305500,10.280000,0.215399,10.858932,0.338333,10.497248
1505.000000,0.497097,10.391774,0.307200,10.315000,0.217484,10.885156,0.340594,10.530643
1510.000000,0.500092,10.430737,0.308900,10.350000,0.219569,10.911380,0.342854,10.564039
1515.000000,0.503088,10.469700,0.310600,10.380000,0.220787,10.958627,0.344825,10.602776
1520.000000,0.506083,10.508664,0.312300,10.410000,0.222004,11.005875,0.346796,10.641513
1525.000000,0.509078,10.547627,0.314000,10.445000,0.226297,11.046023,0.349792,10.679550
1530.000000,0.512074,10.586590,0.315700,10.480000,0.230589,11.086170,0.352788,10.717587
1535.000000,0.515069,10.625553,0.317400,10.515000,0.232900,11.127334,0.355123,10.755962
1540.000000,0.518065,10.664516,0.319100,10.550000,0.235211,11.168497,0.357458,10.794338
1545.000000,0.521060,10.703479,0.320850,10.585000,0.236720,11.215784,0.359543,10.834754
1550.000000,0.524055,10.742442,0.322600,10.620000,0.238230,11.263070,0.361628,10.875171
1555.000000,0.527051,10.781406,0.324300,10.655000,0.237496,11.290070,0.362949,10.908825
1560.000000,0.530046,10.820369,0.326000,10.690000,0.236762,11.317069,0.364269,10.942479
1565.000000,0.533041,10.859332,0.327750,10.725000,0.236019,11.348995,0.365603,10.977776
1570.000000,0.536037,10.898295,0.329500,10.760000,0.235275,11.380921,0.366937,11.013072
1575.000000,0.539032,10.937258,0.331300,10.790000,0.238047,11.411867,0.369460,11.046375
1580.000000,0.542028,10.976221,0.333100,10.820000,0.240819,11.442814,0.371982,11.079678
1585.000000,0.545023,11.015184,0.334850,10.855000,0.243555,11.487269,0.374476,11.119151
1590.000000,0.548018,11.054147,0.336600,10.890000,0.246290,11.531724,0.376970,11.158624
1595.000000,0.551014,11.093111,0.338400,10.925000,0.244972,11.587360,0.378128,11.201824
1600.000000,0.554009,11.132074,0.340200,10.960000,0.243653,11.642996,0.379287,11.245023
1605.000000,0.557005,11.171037,0.341950,10.995000,0.247884,11.676060,0.382280,11.280699
1610.000000,0.560000,11.210000,0.343700,11.030000,0.252115,11.709123,0.385272,11.316374
1615.000000,0.565505,11.249297,0.345550,11.065000,0.250473,11.746334,0.387176,11.353543
1620.000000,0.571009,11.288593,0.347400,11.100000,0.248830,11.783544,0.389080,11.390713
1625.000000,0.576514,11.327890,0.349200,11.130000,0.256639,11.824308,0.394118,11.427399
1630.000000,0.582018,11.367187,0.351000,11.160000,0.264448,11.865072,0.399156,11.464086
1635.000000,0.587523,11.406483,0.352800,11.195000,0.261450,11.896528,0.400591,11.499337
1640.000000,0.593028,11.445780,0.354600,11.230000,0.258451,11.927984,0.402026,11.534588
1645.000000,0.598532,11.485076,0.356450,11.265000,0.262167,11.969837,0.405716,11.573304
1650.000000,0.604037,11.524373,0.358300,11.300000,0.265883,12.011690,0.409406,11.612021
1655.000000,0.609541,11.563670,0.360150,11.335000,0.272222,12.040694,0.413971,11.646454
1660.000000,0.615046,11.602966,0.362000,11.370000,0.278561,12.069697,0.418536,11.680888
1665.000000,0.620550,11.642263,0.363850,11.405000,0.278375,12.128645,0.420925,11.725303
1670.000000,0.626055,11.681560,0.365700,11.440000,0.278189,12.187592,0.423315,11.769717
1675.000000,0.631560,11.720856,0.367600,11.470000,0.279545,12.214027,0.426235,11.801628
1680.000000,0.637064,11.760153,0.369500,11.500000,0.280900,12.240462,0.429155,11.833538
1685.000000,0.642569,11.799450,0.371350,11.535000,0.285572,12.293647,0.433164,11.876032
1690.000000,0.648073,11.838746,0.373200,11.570000,0.290245,12.346831,0.437173,11.918526
1695.000000,0.653578,11.878043,0.375100,11.605000,0.303363,12.358684,0.444014,11.947242
1700.000000,0.659083,11.917339,0.377000,11.640000,0.316482,12.370536,0.450855,11.975958
1705.000000,0.664587,11.956636,0.378900,11.675000,nan,nan,0.378900,11.675000
1710.000000,0.670092,11.995933,0.380800,11.710000,nan,nan,0.380800,11.710000
1715.000000,0.675596,12.035229,0.382750,11.740000,nan,nan,0.382750,11.740000
1720.000000,0.681101,12.074526,0.384700,11.770000,nan,nan,0.384700,11.770000
1725.000000,0.686606,12.113823,0.386600,11.805000,nan,nan,0.386600,11.805000
1730.000000,0.692110,12.153119,0.388500,11.840000,nan,nan,0.388500,11.840000
1735.000000,0.697615,12.192416,0.390450,11.875000,nan,nan,0.390450,11.875000
1740.000000,0.703119,12.231713,0.392400,11.910000,nan,nan,0.392400,11.910000
1745.000000,0.708624,12.271009,0.394350,11.945000,nan,nan,0.394350,11.945000
1750.000000,0.714128,12.310306,0.396300,11.980000,nan,nan,0.396300,11.980000
1755.000000,0.719633,12.349602,0.398300,12.010000,nan,nan,0.398300,12.010000
1760.000000,0.725138,12.388899,0.400300,12.040000,nan,nan,0.400300,12.040000
1765.000000,0.730642,12.428196,0.402250,12.075000,nan,nan,0.402250,12.075000
1770.000000,0.736147,12.467492,0.404200,12.110000,nan,nan,0.404200,12.110000
1775.000000,0.741651,12.506789,0.406200,12.145000,nan,nan,0.406200,12.145000
1780.000000,0.747156,12.546086,0.408200,12.180000,nan,nan,0.408200,12.180000
1785.000000,0.752661,12.585382,0.410250,12.215000,nan,nan,0.410250,12.215000
1790.000000,0.758165,12.624679,0.412300,12.250000,nan,nan,0.412300,12.250000
1795.000000,0.763670,12.663976,0.414300,12.280000,nan,nan,0.414300,12.280000
1800.000000,0.769174,12.703272,0.416300,12.310000,nan,nan,0.416300,12.310000
1805.000000,0.774679,12.742569,0.418350,12.345000,nan,nan,0.418350,12.345000
1810.000000,0.780183,12.781865,0.420400,12.380000,nan,nan,0.420400,12.380000
1815.000000,0.785688,12.821162,0.422450,12.415000,nan,nan,0.422450,12.415000
1820.000000,0.791193,12.860459,0.424500,12.450000,nan,nan,0.424500,12.450000
1825.000000,0.796697,12.899755,0.426550,12.485000,nan,nan,0.426550,12.485000
1830.000000,0.802202,12.939052,0.428600,12.520000,nan,nan,0.428600,12.520000
1835.000000,0.807706,12.978349,0.430700,12.550000,nan,nan,0.430700,12.550000
1840.000000,0.813211,13.017645,0.432800,12.580000,nan,nan,0.432800,12.580000
1845.000000,0.818716,13.056942,0.434850,12.615000,nan,nan,0.434850,12.615000
1850.000000,0.824220,13.096239,0.436900,12.650000,nan,nan,0.436900,12.650000
1855.000000,0.829725,13.135535,0.439050,12.685000,nan,nan,0.439050,12.685000
1860.000000,0.835229,13.174832,0.441200,12.720000,nan,nan,0.441200,12.720000
1865.000000,0.840734,13.214128,0.443300,12.750000,nan,nan,0.443300,12.750000
