panel,channel,scheme,effective_count,rmse,p95_abs,max_abs,threshold_rmse,threshold_p95_abs,rmse_status,p95_status,status,threshold_provenance,model_validity,resampling
b,MD,dense_1000,1000,0.005280394048721787,0.00935538133342928,0.013044503188310408,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,MD,dense_4000,4000,0.005278552588511724,0.009360157322540363,0.013233213330789972,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,MD,dense_16000,16000,0.005278540835157289,0.009365707457512862,0.01324921501739107,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,MD,equal_segment,67,0.004676609896022965,0.009264051860562204,0.009856070548194484,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,source_segment_midpoints_equal_weight
b,EQ,dense_212,212,0.006887497470809908,0.013549387209093933,0.015971616897034746,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,EQ,dense_1000,1000,0.006865725747201349,0.013562429729210734,0.016404012791136235,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,EQ,dense_4000,4000,0.00686364227128033,0.013501880612895256,0.01669201537884124,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,EQ,dense_16000,16000,0.0068634858078791255,0.013472449973155776,0.016733457354136227,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,EQ,equal_segment,61,0.006242322592532781,0.012213983924819427,0.015826278906087232,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,source_segment_midpoints_equal_weight
b,MQ,dense_212,212,0.005039237865856925,0.010131067998784604,0.012834019775611473,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,MQ,dense_1000,1000,0.0050359223026754905,0.010079937782620507,0.012834019775611473,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,MQ,dense_4000,4000,0.005036344008035395,0.010083153626652908,0.012834019775611473,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,MQ,dense_16000,16000,0.005036297183333119,0.010086660559307292,0.012834019775611473,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,cumulative_polyline_arc_length_trapezoidal
b,MQ,equal_segment,48,0.004076708119512777,0.00850078148945573,0.010702829180281426,,,UNRESOLVED,UNRESOLVED,UNRESOLVED,none_by_A5_v2_spec,False,source_segment_midpoints_equal_weight
