x_alaee,x_mie,C_pathA,C_table1,C_mie_l12,A_ED,T_ED,M_ED,A_MD,T_MD,M_MD,A_EQ,T_EQ,M_EQ,A_MQ,T_MQ,M_MQ
0.02,0.06283185307179587,3.3303485693973766e-08,3.3303485692594737e-08,3.330338633100406e-08,3.3303443954770704e-08,3.33034439547707e-08,3.330334461877701e-08,3.9293399684916335e-14,3.9293399684916284e-14,3.926832316414139e-14,2.4458025908190206e-15,2.444423578325808e-15,2.4439030474316424e-15,7.792513193271837e-22,7.792513193272299e-22,8.3112336574903565e-22
0.021879194630872484,0.06873551711881024,5.710920785645298e-08,5.7109207852401953e-08,5.7109042137502953e-08,5.710910533083726e-08,5.7109105330837274e-08,5.710893968950554e-08,9.6521455428793e-14,9.652145542879298e-14,9.644916513526891e-14,6.004157526118017e-15,6.000106480584661e-15,5.998829350400091e-15,2.770418444805092e-21,2.7704184448049814e-21,2.9225837926895623e-21
0.023758389261744967,0.07463918116582462,9.368007372705675e-08,9.368007371616804e-08,9.367981112477683e-08,9.367983984930673e-08,9.367983984930674e-08,9.367957745231208e-08,2.2019013128741008e-13,2.2019013128741008e-13,2.1999864394945841e-13,1.3687609863736808e-14,1.3676721152836992e-14,1.3673811534710784e-14,8.857476219393383e-21,8.857476219394057e-21,9.265236473108602e-21
0.02563758389261745,0.080542845212839,1.4799724351903189e-07,1.4799724349188768e-07,1.4799684609609308e-07,1.4799674242995232e-07,1.4799674242995232e-07,1.479963455122836e-07,4.717835518152641e-13,4.717835518152642e-13,4.713116500589681e-13,2.930550187358376e-14,2.9278357639306814e-14,2.9272132525739644e-14,2.5890919592681325e-20,2.589091959268144e-20,2.6902689545614868e-20
0.02751677852348993,0.08644650925985337,2.2638156761128392e-07,2.263815675478528e-07,2.2638099131282678e-07,2.2638055026191537e-07,2.263805502619153e-07,2.263799751322406e-07,9.578959571355825e-13,9.578959571355823e-13,9.568032225095538e-13,5.945334132390582e-14,5.938991026411648e-14,5.937729124816963e-14,7.009225782768582e-20,7.009225782768975e-20,7.244158118672456e-20
0.029395973154362418,0.09235017330686775,3.367175314455539e-07,3.367175313054137e-07,3.3671672955056936e-07,3.36715560165936e-07,3.3671556016593577e-07,3.3671476083215594e-07,1.8561722070735286e-12,1.8561722070735278e-12,1.853775547036196e-12,1.1510723327723204e-13,1.1496709331301143e-13,1.1494268369549162e-13,1.775628450812829e-19,1.7756284508128921e-19,1.827108466257024e-19
0.0312751677852349,0.09825383735388211,4.886955361378893e-07,4.88695535843122e-07,4.886944659585297e-07,4.886918695059781e-07,4.88691869505978e-07,4.88690804678307e-07,3.4527140691152615e-12,3.4527140691152603e-12,3.4477024547699186e-12,2.1391741765999063e-13,2.1362265041534018e-13,2.1357733269137455e-13,4.244432565020103e-19,4.2444325650202506e-19,4.35161075630808e-19
0.03315436241610738,0.10415750140089648,6.940728030824602e-07,6.940728024887891e-07,6.940714373413239e-07,6.940662249255647e-07,6.940662249255644e-07,6.940648699052436e-07,6.194728115062467e-12,6.1947281150624605e-12,6.184682086440469e-12,3.8342781654992754e-13,3.82834145700639e-13,3.827530085502879e-13,9.639464715168558e-19,9.6394647151676e-19,9.852637610695023e-19
0.035033557046979864,0.11006116544791086,9.669532122992143e-07,9.669532111488351e-07,9.669515570261396e-07,9.669417837247289e-07,9.669417837247289e-07,9.669401491354974e-07,1.0763072487611746e-11,1.0763072487611739e-11,1.0743679634365187e-11,6.654999061899237e-13,6.643495268456057e-13,6.642088751937205e-13,2.091855511021024e-18,2.0918555110209837e-18,2.1325434977586023e-18
0.03691275167785235,0.11596482949492526,1.3240864059535413e-06,1.3240864038001718e-06,1.3240845272339014e-06,1.3240671132955082e-06,1.3240671132955084e-06,1.3240652731570487e-06,1.8170375755562543e-11,1.8170375755562533e-11,1.8134184734890454e-11,1.1222779189888306e-12,1.120124549195132e-12,1.119887684619201e-12,4.358546371537054e-18,4.358546371536958e-18,4.433347578844064e-18
0.03879194630872483,0.12186849354193963,1.785186510362571e-06,1.7851865064553287e-06,1.7851845728468492e-06,1.7851547746915202e-06,1.7851547746915202e-06,1.7851529069816065e-06,2.9891563453119016e-11,2.989156345311901e-11,2.982605337343717e-11,1.8440988426634265e-12,1.8401916005194526e-12,1.8398029812986326e-12,8.754958964941542e-18,8.754958964941439e-18,8.887810919077053e-18
0.04067114093959731,0.127772157588954,2.3732708519039235e-06,2.37327084501143e-06,2.373269172662286e-06,2.3732198571122504e-06,2.37321985711225e-06,2.3732183007309703e-06,4.803494924736487e-11,4.803494924736483e-11,4.791960385457926e-11,2.9598254122721716e-12,2.9529329195613542e-12,2.9523102191071024e-12,1.7013204225566018e-17,1.7013204225566206e-17,1.72417142415339e-17
0.04255033557046979,0.13367582163596836,3.1150190645620546e-06,3.115019052711377e-06,3.1150181866460743e-06,3.114938850824919e-06,3.1149388508249175e-06,3.114938183774164e-06,7.556354127105763e-11,7.556354127105763e-11,7.536550286099092e-11,4.650163784131883e-12,4.638313107823364e-12,4.6373365863955925e-12,3.208094471199358e-17,3.208094471199349e-17,3.246232908931078e-17
0.04442953020134228,0.13957948568298273,4.04115300938672e-06,4.0411529894830205e-06,4.041153800352146e-06,4.0410292668134684e-06,4.041029266813468e-06,4.0410304114536135e-06,1.16577894058904e-10,1.1657789405890396e-10,1.1624562393280255e-10,7.1646203396019706e-12,7.144716640110983e-12,7.143215127096933e-12,5.885391839940265e-17,5.885391839940174e-17,5.947247818120823e-17
0.046308724832214765,0.14548314972999712,5.186837948896898e-06,5.1868379161785325e-06,5.186841730554279e-06,5.186650432219352e-06,5.186650432219352e-06,5.186654794678505e-06,1.7667371766535246e-10,1.7667371766535243e-10,1.7612790063157876e-10,1.0842854596057463e-11,1.0810136229837098e-11,1.080786888222145e-11,1.0528496742420725e-16,1.0528496742420828e-16,1.0626086839370229e-16
0.048187919463087245,0.1513868137770115,6.5921054424401005e-06,6.592105389709932e-06,6.592114159242226e-06,6.5918259114042564e-06,6.591825911404255e-06,6.591835563611182e-06,2.633895538018613e-10,2.633895538018612e-10,2.625102448133248e-10,1.6141298010453923e-11,1.608856784227414e-11,1.6085200699378404e-11,1.8403310340430714e-16,1.8403310340431047e-16,1.8553166419428072e-16
0.050067114093959725,0.15729047782402586,8.302298451706316e-06,8.302298368262556e-06,8.30231488646054e-06,8.301888023198247e-06,8.301888023198235e-06,8.301905937606608e-06,3.86762161132666e-10,3.867621611326658e-10,3.853708723092401e-10,2.366603206028518e-11,2.3582588312759173e-11,2.3577664508436176e-11,3.1487542038916553e-16,3.1487542038915597e-16,3.171151529564342e-16
0.051946308724832205,0.16319414187104023,1.0368539168991632e-05,1.036853903916009e-05,1.0368567216006845e-05,1.0367944945573287e-05,1.0367944945573286e-05,1.0367975294460375e-05,5.600098362685657e-10,5.600098362685659e-10,5.578448903557157e-10,3.421305389456825e-11,3.4083222355010725e-11,3.4076124677344e-11,5.28181581018902e-16,5.281815810189092e-16,5.314376821652942e-16
0.0538255033557047,0.16909780591805465,1.2848220104399167e-05,1.2848219905542258e-05,1.2848265111749095e-05,1.2847370919571932e-05,1.2847370919571937e-05,1.2847419452851813e-05,8.003667527990965e-10,8.003667527990962e-10,7.970497708565165e-10,4.8817204585827554e-11,4.8618347672757745e-11,4.860825197968846e-11,8.698493590086865e-16,8.698493590086722e-16,8.744469599477382e-16
0.05570469798657718,0.17500146996506902,1.5805518991941947e-05,1.580551869178819e-05,1.5805588186251754e-05,1.5804320084791056e-05,1.5804320084791053e-05,1.580439460259942e-05,1.1300945485627493e-09,1.1300945485627488e-09,1.1250853796628747e-09,6.881119411035454e-11,6.851104034936499e-11,6.84968581590759e-11,1.4082253097297247e-15,1.408225309729763e-15,1.414513202309571e-15
0.05758389261744966,0.18090513401208336,1.9311938098459948e-05,1.93119376515589e-05,1.9312041107506587e-05,1.9310264499033668e-05,1.9310264499033678e-05,1.931037543794361e-05,1.5777008534123416e-09,1.577700853412341e-09,1.5702375744986655e-09,9.589632917156869e-11,9.544942811674505e-11,9.542973649753865e-11,2.2436929363094518e-15,2.2436929363095e-15,2.251983243379473e-15
