panel,channel,electronic_points,d_rmse,d_p95,d_peak_x,u_interp,u_interp_sensitivity,u_physics,u_cross_rmse,u_cross_p95,u_cross_peak_x,interval_L_rmse,interval_U_rmse,interval_L_p95,interval_U_p95,interval_L_peak_x,interval_U_peak_x,rmse_threshold,p95_threshold,peak_x_threshold,rmse_status,p95_status,peak_x_status,pre_override_composite,composite_status,uq_model_validity,coverage_note,cross_gate_note,reference_note
a,ED,200,3.447878202415191e-05,9.435365478966938e-05,0.0,0.0025508216468876003,0.010203286587550401,0.021577072366602366,,,,,,,,,,0.02,0.05,0.01,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,False,electronic dense curve computed,route3 not gate-eligible; formal u_cross unavailable,d is Table2-vs-independent-Mie on fixed electronic grid; no image data
a,MD,200,4.413838831839731e-05,0.00010218741325009879,0.0,0.00871875729022193,0.03487502916088772,0.06389709441098908,,,,,,,,,,0.02,0.05,0.01,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,False,electronic dense curve computed,route3 not gate-eligible; formal u_cross unavailable,d is Table2-vs-independent-Mie on fixed electronic grid; no image data
a,EQ,200,6.139758342643352e-05,0.00014592893790984495,0.0,0.005816423513195606,0.023265694052782424,0.039723761089961916,,,,,,,,,,0.02,0.05,0.01,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,False,electronic dense curve computed,route3 not gate-eligible; formal u_cross unavailable,d is Table2-vs-independent-Mie on fixed electronic grid; no image data
a,MQ,200,2.624477426648745e-05,6.7726856901662e-05,0.0,0.045032525384488056,0.18013010153795223,0.250101532907766,,,,,,,,,,0.02,0.05,0.01,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,False,electronic dense curve computed,route3 not gate-eligible; formal u_cross unavailable,d is Table2-vs-independent-Mie on fixed electronic grid; no image data
b,ED,200,8.876924397594173e-05,0.00017088085500860384,0.0,0.00024108858637984402,0.0009643543455193761,0.000513740820755636,,,,,,,,,,0.02,0.05,0.01,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,False,electronic dense curve computed,route3 not gate-eligible; formal u_cross unavailable,d is Table2-vs-independent-Mie on fixed electronic grid; no image data
b,MD,200,7.75953882256115e-05,0.0001269106637654338,0.0,0.00031867923073722646,0.0012747169229489058,0.0006671490442246086,,,,,,,,,,0.02,0.05,0.01,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,False,electronic dense curve computed,route3 not gate-eligible; formal u_cross unavailable,d is Table2-vs-independent-Mie on fixed electronic grid; no image data
b,EQ,200,0.00013072427905752763,0.00025909887257584695,0.0,0.0007189868617665636,0.0028759474470662545,0.0006078427722909585,,,,,,,,,,0.02,0.05,0.01,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,False,electronic dense curve computed,route3 not gate-eligible; formal u_cross unavailable,d is Table2-vs-independent-Mie on fixed electronic grid; no image data
b,MQ,200,3.398912543518823e-05,6.228897862536886e-05,0.0,0.00017590661412833738,0.0007036264565133495,0.0016261808266367494,,,,,,,,,,0.02,0.05,0.01,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,False,electronic dense curve computed,route3 not gate-eligible; formal u_cross unavailable,d is Table2-vs-independent-Mie on fixed electronic grid; no image data
