x,fano_profile
1.25,1.4235294117647055
1.25018,1.424298059986638
1.25036,1.4250693416887934
1.25054,1.42584326939861
1.25072,1.4266198557138006
1.2509,1.4273991133027366
1.25108,1.42818105490483
1.25126,1.4289656933309076
1.25144,1.4297530414635986
1.25162,1.43054311225771
1.2518,1.431335918740616
1.25198,1.4321314740126334
1.25216,1.432929791247405
1.25234,1.4337308836922875
1.25252,1.4345347646687272
1.2527,1.4353414475726467
1.25288,1.4361509458748285
1.25306,1.4369632731212956
1.25324,1.4377784429336922
1.25342,1.4385964690096738
1.2536,1.439417365123281
1.25378,1.440241145125324
1.25396,1.4410678229437692
1.25414,1.4418974125841122
1.25432,1.4427299281297619
1.2545,1.4435653837424203
1.25468,1.444403793662464
1.25486,1.4452451722093171
1.25504,1.4460895337818305
1.25522,1.446936892858662
1.2554,1.4477872639986449
1.25558,1.448640661841166
1.25576,1.4494971011065394
1.25594,1.4503565965963734
1.25612,1.4512191631939424
1.2563,1.4520848158645576
1.25648,1.4529535696559286
1.2566599999999999,1.4538254396985293
1.25684,1.454700441205964
1.25702,1.4555785894753217
1.2572,1.4564598998875389
1.25738,1.457344387907752
1.25756,1.4582320690856543
1.25774,1.4591229590558432
1.25792,1.4600170735381672
1.2581,1.4609144283380766
1.25828,1.4618150393469578
1.25846,1.4627189225424744
1.25864,1.4636260939889072
1.25882,1.4645365698374768
1.259,1.4654503663266762
1.25918,1.4663674997825977
1.25936,1.4672879866192454
1.25954,1.4682118433388545
1.25972,1.4691390865322014
1.2599,1.4700697328789127
1.26008,1.4710037991477611
1.26026,1.4719413021969647
1.26044,1.4728822589744797
1.26062,1.4738266865182816
1.2608,1.474774601956646
1.26098,1.4757260225084263
1.26116,1.4766809654833162
1.26134,1.4776394482821091
1.26152,1.4786014883969623
1.2617,1.479567103411633
1.26188,1.4805363110017216
1.26206,1.4815091289349107
1.26224,1.4824855750711814
1.26242,1.4834656673630329
1.2626,1.4844494238556907
1.26278,1.485436862687312
1.26296,1.4864280020891656
1.26314,1.4874228603858188
1.26332,1.4884214559953155
1.2635,1.4894238074293256
1.26368,1.4904299332933026
1.26386,1.491439852286631
1.26404,1.4924535832027428
1.26422,1.4934711449292442
1.2644,1.4944925564480254
1.26458,1.4955178368353454
1.2647599999999999,1.4965470052619185
1.26494,1.4975800809929904
1.26512,1.49861708338838
1.2653,1.4996580319025299
1.26548,1.5007029460845318
1.26566,1.5017518455781413
1.26584,1.5028047501217687
1.26602,1.5038616795484658
1.2662,1.5049226537858933
1.26638,1.5059876928562606
1.26656,1.507056816876264
1.26674,1.5081300460570013
1.26692,1.50920740070386
1.2671,1.5102889012163974
1.26728,1.5113745680882014
1.26746,1.5124644219067163
1.26764,1.5135584833530682
1.26782,1.5146567732018539
1.268,1.5157593123209165
1.26818,1.5168661216710906
1.26836,1.5179772223059322
1.26854,1.5190926353714191
1.26872,1.520212382105628
1.2689,1.5213364838383852
1.26908,1.5224649619908943
1.26926,1.5235978380753326
1.26944,1.52473513369442
1.26962,1.5258768705409644
1.2698,1.5270230703973688
1.2699799999999999,1.5281737551351158
1.27016,1.5293289467142186
1.27034,1.5304886671826348
1.27052,1.5316529386756548
1.2707,1.5328217834152482
1.27088,1.5339952237093872
1.27106,1.5351732819513157
1.27124,1.5363559806187959
1.27142,1.5375433422733153
1.2716,1.538735389559245
1.27178,1.5399321452029646
1.27196,1.5411336320119506
1.27214,1.5423398728738071
