2a_over_lambda,ED,MD,EQ,MQ
0.501508,2.999296e+00,1.395514e+00,3.268775e-01,4.542359e-01
0.505528,2.991881e+00,1.387157e+00,3.591464e-01,5.896092e-01
0.509548,2.975671e+00,1.379907e+00,3.945172e-01,7.730188e-01
0.513568,2.949777e+00,1.373654e+00,4.332840e-01,1.023319e+00
0.517588,2.913325e+00,1.368301e+00,4.757677e-01,1.365448e+00
0.521608,2.865503e+00,1.363757e+00,5.223181e-01,1.828570e+00
0.525628,2.805613e+00,1.359941e+00,5.733159e-01,2.436314e+00
0.529648,2.733135e+00,1.356774e+00,6.291738e-01,3.180595e+00
0.533668,2.647788e+00,1.354186e+00,6.903386e-01,3.977784e+00
0.537688,2.549602e+00,1.352110e+00,7.572921e-01,4.645711e+00
0.541709,2.438971e+00,1.350482e+00,8.305510e-01,4.980458e+00
0.545729,2.316700e+00,1.349243e+00,9.106666e-01,4.910683e+00
0.549749,2.184019e+00,1.348336e+00,9.982224e-01,4.542092e+00
0.553769,2.042574e+00,1.347707e+00,1.093831e+00,4.043472e+00
0.557789,1.894371e+00,1.347303e+00,1.198125e+00,3.539243e+00
0.561809,1.741702e+00,1.347073e+00,1.311750e+00,3.088740e+00
0.565829,1.587024e+00,1.346968e+00,1.435349e+00,2.708563e+00
0.569849,1.432841e+00,1.346939e+00,1.569541e+00,2.395555e+00
0.573869,1.281563e+00,1.346937e+00,1.714894e+00,2.139938e+00
0.577889,1.135395e+00,1.346914e+00,1.871889e+00,1.931116e+00
0.581910,9.962323e-01,1.346821e+00,2.040876e+00,1.759737e+00
0.585930,8.656014e-01,1.346611e+00,2.222007e+00,1.618165e+00
0.589950,7.446253e-01,1.346232e+00,2.415172e+00,1.500364e+00
0.593970,6.340253e-01,1.345635e+00,2.619909e+00,1.401628e+00
0.597990,5.341486e-01,1.344768e+00,2.835305e+00,1.318294e+00
0.602010,4.450139e-01,1.343576e+00,3.059890e+00,1.247506e+00
0.606030,3.663690e-01,1.342005e+00,3.291526e+00,1.187023e+00
0.610050,2.977512e-01,1.339995e+00,3.527310e+00,1.135076e+00
0.614070,2.385462e-01,1.337485e+00,3.763496e+00,1.090255e+00
