2a_over_lambda,ED,MD,EQ,MQ
0.372864,1.483313e+00,2.695054e+00,1.284155e-02,9.869216e-04
0.376884,1.547133e+00,2.868735e+00,1.435677e-02,1.176828e-03
0.380905,1.611123e+00,2.969660e+00,1.603581e-02,1.402548e-03
0.384925,1.675151e+00,2.999966e+00,1.789506e-02,1.670844e-03
0.388945,1.739089e+00,2.971057e+00,1.995246e-02,1.989799e-03
0.392965,1.802817e+00,2.898707e+00,2.222762e-02,2.369080e-03
0.396985,1.866217e+00,2.798672e+00,2.474201e-02,2.820281e-03
0.401005,1.929181e+00,2.684103e+00,2.751911e-02,3.357326e-03
0.405025,1.991602e+00,2.564700e+00,3.058458e-02,3.996982e-03
0.409045,2.053383e+00,2.446946e+00,3.396654e-02,4.759487e-03
0.413065,2.114429e+00,2.334778e+00,3.769568e-02,5.669335e-03
0.417085,2.174649e+00,2.230312e+00,4.180562e-02,6.756258e-03
0.421106,2.233955e+00,2.134458e+00,4.633310e-02,8.056464e-03
0.425126,2.292260e+00,2.047370e+00,5.131832e-02,9.614208e-03
0.429146,2.349474e+00,1.968763e+00,5.680527e-02,1.148378e-02
0.433166,2.405507e+00,1.898111e+00,6.284204e-02,1.373205e-02
0.437186,2.460260e+00,1.834785e+00,6.948127e-02,1.644179e-02
0.441206,2.513627e+00,1.778124e+00,7.678056e-02,1.971591e-02
0.445226,2.565488e+00,1.727480e+00,8.480293e-02,2.368308e-02
0.449246,2.615710e+00,1.682244e+00,9.361737e-02,2.850505e-02
0.453266,2.664138e+00,1.641859e+00,1.032994e-01,3.438649e-02
0.457286,2.710592e+00,1.605815e+00,1.139317e-01,4.158805e-02
0.461307,2.754864e+00,1.573660e+00,1.256047e-01,5.044413e-02
0.465327,2.796710e+00,1.544987e+00,1.384177e-01,6.138708e-02
0.469347,2.835845e+00,1.519436e+00,1.524791e-01,7.498060e-02
0.473367,2.871940e+00,1.496686e+00,1.679081e-01,9.196635e-02
0.477387,2.904609e+00,1.476453e+00,1.848347e-01,1.133295e-01
0.481407,2.933412e+00,1.458484e+00,2.034019e-01,1.403922e-01
0.485427,2.957841e+00,1.442555e+00,2.237660e-01,1.749478e-01
0.489447,2.977323e+00,1.428464e+00,2.460982e-01,2.194557e-01
0.493467,2.991214e+00,1.416032e+00,2.705864e-01,2.773260e-01
0.497487,2.998800e+00,1.405099e+00,2.974360e-01,3.533364e-01
0.501508,2.999302e+00,1.395520e+00,3.268720e-01,4.542369e-01
0.505528,2.991885e+00,1.387164e+00,3.591406e-01,5.896103e-01
0.509548,2.975672e+00,1.379914e+00,3.945110e-01,7.730200e-01
0.513568,2.949773e+00,1.373662e+00,4.332773e-01,1.023320e+00
0.517588,2.913314e+00,1.368310e+00,4.757606e-01,1.365450e+00
0.521608,2.865483e+00,1.363768e+00,5.223106e-01,1.828571e+00
0.525628,2.805580e+00,1.359953e+00,5.733079e-01,2.436316e+00
0.529648,2.733085e+00,1.356787e+00,6.291653e-01,3.180597e+00
0.533668,2.647719e+00,1.354201e+00,6.903297e-01,3.977786e+00
0.537688,2.549514e+00,1.352126e+00,7.572827e-01,4.645714e+00
0.541709,2.438871e+00,1.350499e+00,8.305412e-01,4.980462e+00
0.545729,2.316595e+00,1.349262e+00,9.106562e-01,4.910687e+00
0.549749,2.183917e+00,1.348356e+00,9.982116e-01,4.542097e+00
0.553769,2.042477e+00,1.347729e+00,1.093819e+00,4.043477e+00
0.557789,1.894282e+00,1.347327e+00,1.198113e+00,3.539249e+00
0.561809,1.741620e+00,1.347099e+00,1.311738e+00,3.088746e+00
0.565829,1.586949e+00,1.346996e+00,1.435336e+00,2.708569e+00
0.569849,1.432771e+00,1.346969e+00,1.569528e+00,2.395561e+00
0.573869,1.281498e+00,1.346969e+00,1.714881e+00,2.139945e+00
0.577889,1.135334e+00,1.346948e+00,1.871877e+00,1.931123e+00
0.581910,9.961755e-01,1.346858e+00,2.040863e+00,1.759745e+00
0.585930,8.655481e-01,1.346650e+00,2.221994e+00,1.618173e+00
0.589950,7.445752e-01,1.346274e+00,2.415160e+00,1.500372e+00
0.593970,6.339785e-01,1.345680e+00,2.619898e+00,1.401636e+00
0.597990,5.341049e-01,1.344815e+00,2.835295e+00,1.318303e+00
0.602010,4.449732e-01,1.343627e+00,3.059882e+00,1.247515e+00
0.606030,3.663313e-01,1.342058e+00,3.291520e+00,1.187032e+00
0.610050,2.977165e-01,1.340052e+00,3.527306e+00,1.135085e+00
0.614070,2.385145e-01,1.337546e+00,3.763496e+00,1.090265e+00
0.618090,1.880127e-01,1.334476e+00,3.995475e+00,1.051442e+00
0.622111,1.454451e-01,1.330774e+00,4.217810e+00,1.017700e+00
0.626131,1.100287e-01,1.326368e+00,4.424382e+00,9.882945e-01
0.630151,8.099139e-02,1.321181e+00,4.608634e+00,9.626120e-01
0.634171,5.759196e-02,1.315129e+00,4.763939e+00,9.401451e-01
0.638191,3.913383e-02,1.308125e+00,4.884047e+00,9.204703e-01
0.642211,2.497317e-02,1.300074e+00,4.963591e+00,9.032320e-01
0.646231,1.452300e-02,1.290872e+00,4.998573e+00,8.881294e-01
0.650251,7.254216e-03,1.280409e+00,4.986755e+00,8.749065e-01
0.654271,2.694338e-03,1.268564e+00,4.927899e+00,8.633438e-01
0.658291,4.248781e-04,1.255209e+00,4.823794e+00,8.532521e-01
0.662312,7.773319e-05,1.240201e+00,4.678081e+00,8.444672e-01
0.666332,1.331106e-03,1.223388e+00,4.495899e+00,8.368456e-01
0.670352,3.905231e-03,1.204603e+00,4.283419e+00,8.302613e-01
0.674372,7.558119e-03,1.183667e+00,4.047345e+00,8.246028e-01
0.678392,1.208147e-02,1.160384e+00,3.794437e+00,8.197709e-01
0.682412,1.729684e-02,1.134544e+00,3.531122e+00,8.156768e-01
0.686432,2.305209e-02,1.105920e+00,3.263213e+00,8.122401e-01
0.690452,2.921820e-02,1.074263e+00,2.995728e+00,8.093882e-01
0.694472,3.568633e-02,1.039304e+00,2.732818e+00,8.070545e-01
0.698492,4.236528e-02,1.000750e+00,2.477770e+00,8.051775e-01
0.702513,4.917922e-02,9.583515e-01,2.233153e+00,8.037003e-01
0.706533,5.606562e-02,9.119602e-01,2.000941e+00,8.025697e-01
0.710553,6.297354e-02,8.613726e-01,1.782381e+00,8.017355e-01
0.714573,6.986211e-02,8.063276e-01,1.578119e+00,8.011500e-01
0.718593,7.669913e-02,7.466530e-01,1.388452e+00,8.007676e-01
0.722613,8.345999e-02,6.823097e-01,1.213408e+00,8.005442e-01
0.726633,9.012662e-02,6.134255e-01,1.052797e+00,8.004370e-01
0.730653,9.668667e-02,5.403593e-01,9.062587e-01,8.004040e-01
0.734673,1.031328e-01,4.637904e-01,7.733148e-01,8.004038e-01
0.738693,1.094618e-01,3.848295e-01,6.534072e-01,8.003951e-01
0.742714,1.156747e-01,3.051486e-01,5.459282e-01,8.003367e-01
0.746734,1.217756e-01,2.271155e-01,4.502429e-01,8.001870e-01
0.750754,1.277716e-01,1.539112e-01,3.657068e-01,7.999038e-01
0.754774,1.336726e-01,8.958756e-02,2.916778e-01,7.994440e-01
0.758794,1.394910e-01,3.900991e-02,2.275242e-01,7.987635e-01
0.762814,1.452414e-01,7.615099e-03,1.726314e-01,7.978170e-01
0.766834,1.509405e-01,9.336356e-04,1.264050e-01,7.965572e-01
0.770854,1.566072e-01,2.387231e-02,8.827349e-02,7.949354e-01
0.774874,1.622623e-01,7.984737e-02,5.768924e-02,7.929004e-01
0.778894,1.679284e-01,1.699646e-01,3.412923e-02,7.903987e-01
0.782915,1.736303e-01,2.925058e-01,1.709489e-02,7.873744e-01
0.786935,1.793947e-01,4.429390e-01,6.111829e-03,7.837682e-01
0.790955,1.852504e-01,6.145070e-01,7.293302e-04,7.795178e-01
0.794975,1.912285e-01,7.992407e-01,5.196640e-04,7.745570e-01
0.798995,1.973624e-01,9.890990e-01,5.077413e-03,7.688160e-01
0.803015,2.036881e-01,1.176932e+00,1.401875e-02,7.622206e-01
0.807035,2.102448e-01,1.357082e+00,2.698074e-02,7.546926e-01
0.811055,2.170754e-01,1.525597e+00,4.362065e-02,7.461491e-01
0.815075,2.242274e-01,1.680129e+00,6.361527e-02,7.365033e-01
0.819095,2.317527e-01,1.819662e+00,8.666032e-02,7.256631e-01
0.823116,2.397086e-01,1.944169e+00,1.124698e-01,7.135312e-01
0.827136,2.481572e-01,2.054292e+00,1.407754e-01,7.000046e-01
0.831156,2.571666e-01,2.151071e+00,1.713260e-01,6.849745e-01
0.835176,2.668118e-01,2.235744e+00,2.038871e-01,6.683274e-01
0.839196,2.771759e-01,2.309609e+00,2.382403e-01,6.499454e-01
0.843216,2.883521e-01,2.373933e+00,2.741824e-01,6.297083e-01
0.847236,3.004461e-01,2.429900e+00,3.115255e-01,6.074951e-01
0.851256,3.135797e-01,2.478587e+00,3.500962e-01,5.831824e-01
0.855276,3.278906e-01,2.520953e+00,3.897349e-01,5.566121e-01
0.859296,3.434373e-01,2.557841e+00,4.302954e-01,5.273452e-01
0.863317,3.600559e-01,2.589986e+00,4.716444e-01,4.951221e-01
0.867337,3.784652e-01,2.618023e+00,5.136612e-01,4.612057e-01
0.871357,3.988501e-01,2.642499e+00,5.562367e-01,4.249091e-01
0.875377,4.212912e-01,2.663884e+00,5.992735e-01,3.860324e-01
0.879397,4.460168e-01,2.682581e+00,6.426848e-01,3.447010e-01
0.883417,4.733052e-01,2.698937e+00,6.863946e-01,3.011642e-01
0.887437,5.034699e-01,2.713248e+00,7.303366e-01,2.558322e-01
0.891457,5.368612e-01,2.725770e+00,7.744542e-01,2.093459e-01
0.895477,5.738685e-01,2.736721e+00,8.186998e-01,1.626673e-01
0.899497,6.149224e-01,2.746291e+00,8.630348e-01,1.171965e-01
0.903518,6.604963e-01,2.754644e+00,9.074285e-01,7.492198e-02
0.907538,7.111056e-01,2.761920e+00,9.518587e-01,3.860781e-02
0.911558,7.673048e-01,2.768245e+00,9.963107e-01,1.201539e-02
0.915578,8.296803e-01,2.773724e+00,1.040777e+00,1.449246e-04
0.919598,8.988383e-01,2.778453e+00,1.085258e+00,9.457060e-03
0.923618,9.753844e-01,2.782515e+00,1.129759e+00,4.799520e-02
0.927638,1.059895e+00,2.785983e+00,1.174295e+00,1.252723e-01
0.931658,1.152876e+00,2.788923e+00,1.218885e+00,2.517248e-01
0.935678,1.254706e+00,2.791394e+00,1.263557e+00,4.375114e-01
0.939698,1.365568e+00,2.793449e+00,1.308342e+00,6.905172e-01
0.943719,1.485362e+00,2.795135e+00,1.353282e+00,1.013712e+00
0.947739,1.613608e+00,2.796497e+00,1.398423e+00,1.402507e+00
0.951759,1.749345e+00,2.797575e+00,1.443818e+00,1.843241e+00
0.955779,1.891045e+00,2.798407e+00,1.489530e+00,2.313979e+00
0.959799,2.036548e+00,2.799028e+00,1.535629e+00,2.787972e+00
0.963819,2.183066e+00,2.799474e+00,1.582189e+00,3.238800e+00
0.967839,2.327248e+00,2.799776e+00,1.629279e+00,3.645227e+00
0.971859,2.465353e+00,2.799972e+00,1.676901e+00,3.994038e+00
0.975879,2.593503e+00,2.800100e+00,1.724934e+00,4.280332e+00
0.979899,2.708008e+00,2.800185e+00,1.773401e+00,4.505908e+00
0.983920,2.805704e+00,2.800242e+00,1.822743e+00,4.676876e+00
0.987940,2.884256e+00,2.800300e+00,1.873259e+00,4.801414e+00
0.991960,2.942361e+00,2.800399e+00,1.925011e+00,4.888109e+00
0.995980,2.979808e+00,2.800583e+00,1.978059e+00,4.944962e+00
1.000000,2.997419e+00,2.800907e+00,2.032517e+00,4.978902e+00
