2a_over_lambda,ED,MD,EQ,MQ
0.200000,4.115315e-02,5.796139e-04,2.390145e-05,9.320540e-08
0.204020,4.668495e-02,7.225333e-04,2.915422e-05,1.238454e-07
0.208040,5.283226e-02,8.980573e-04,3.542489e-05,1.636974e-07
0.212060,5.964850e-02,1.113169e-03,4.288557e-05,2.152882e-07
0.216080,6.718997e-02,1.376293e-03,5.173346e-05,2.817757e-07
0.220101,7.551585e-02,1.697589e-03,6.219397e-05,3.670919e-07
0.224121,8.468809e-02,2.089314e-03,7.452413e-05,4.761168e-07
0.228141,9.477123e-02,2.566259e-03,8.901646e-05,6.148866e-07
0.232161,1.058322e-01,3.146287e-03,1.060031e-04,7.908444e-07
0.236181,1.179402e-01,3.850981e-03,1.258603e-04,1.013141e-06
0.240201,1.311662e-01,4.706450e-03,1.490139e-04,1.292994e-06
0.244221,1.455826e-01,5.744316e-03,1.759444e-04,1.644121e-06
0.248241,1.612628e-01,7.002927e-03,2.071933e-04,2.083247e-06
0.252261,1.782807e-01,8.528868e-03,2.433699e-04,2.630721e-06
0.256281,1.967102e-01,1.037883e-02,2.851584e-04,3.311240e-06
0.260302,2.166243e-01,1.262195e-02,3.333261e-04,4.154712e-06
0.264322,2.380944e-01,1.534271e-02,3.887323e-04,5.197282e-06
0.268342,2.611896e-01,1.864461e-02,4.523377e-04,6.482545e-06
0.272362,2.859760e-01,2.265479e-02,5.252149e-04,8.062981e-06
0.276382,3.125151e-01,2.752981e-02,6.085602e-04,1.000166e-05
0.280402,3.408637e-01,3.346309e-02,7.037058e-04,1.237425e-05
0.284422,3.710722e-01,4.069422e-02,8.121335e-04,1.527140e-05
0.288442,4.031841e-01,4.952098e-02,9.354900e-04,1.880152e-05
0.292462,4.372345e-01,6.031450e-02,1.075603e-03,2.309415e-05
0.296482,4.732496e-01,7.353879e-02,1.234498e-03,2.830379e-05
0.300503,5.112458e-01,8.977552e-02,1.414419e-03,3.461461e-05
0.304523,5.512285e-01,1.097555e-01,1.617850e-03,4.224582e-05
0.308543,5.931918e-01,1.343985e-01,1.847536e-03,5.145815e-05
0.312563,6.371177e-01,1.648628e-01,2.106510e-03,6.256142e-05
0.316583,6.829759e-01,2.026055e-01,2.398117e-03,7.592354e-05
0.320603,7.307233e-01,2.494540e-01,2.726050e-03,9.198108e-05
0.324623,7.803044e-01,3.076840e-01,3.094374e-03,1.112518e-04
0.328643,8.316513e-01,3.800970e-01,3.507569e-03,1.343496e-04
0.332663,8.846839e-01,4.700721e-01,3.970564e-03,1.620020e-04
0.336683,9.393108e-01,5.815527e-01,4.488778e-03,1.950708e-04
0.340704,9.954299e-01,7.188916e-01,5.068170e-03,2.345772e-04
0.344724,1.052930e+00,8.864335e-01,5.715283e-03,2.817309e-04
0.348744,1.111691e+00,1.087678e+00,6.437302e-03,3.379653e-04
0.352764,1.171586e+00,1.323869e+00,7.242112e-03,4.049787e-04
0.356784,1.232482e+00,1.592028e+00,8.138359e-03,4.847849e-04
0.360804,1.294242e+00,1.882830e+00,9.135526e-03,5.797719e-04
0.364824,1.356728e+00,2.179399e+00,1.024401e-02,6.927740e-04
0.368844,1.419798e+00,2.458505e+00,1.147519e-02,8.271570e-04
