x_alaee,lambda_nm,source,n,kappa,mie_ED,mie_MD,mie_EQ,mie_MQ,table2_ED,table2_MD,table2_EQ,table2_MQ,abs_err_ED,abs_err_MD,abs_err_EQ,abs_err_MQ,rel_err_ED,rel_err_MD,rel_err_EQ,rel_err_MQ
0.25839793281653745,1935.0000000000002,jc,0.917798,13.764281,0.4638865300378565,0.03152642570702157,0.0006770698763932034,9.271941752098742e-05,0.46417060140925626,0.03155418711522139,0.0006776528689984294,9.283709304049743e-05,0.00028407137139974115,2.7761408199822313e-05,5.829926052259345e-07,1.1767551951001164e-07,0.0006123725372594002,0.0008805758209894149,0.0008610523456331793,0.0012691572343341707
0.2677853007555686,1867.1674606082815,jc,0.843120374129718,13.231162939904728,0.557063006581938,0.03766598836901415,0.0009689339935120144,0.00012924712756887707,0.5573977198287611,0.0376986967459209,0.0009697590210806275,0.0001294092331649636,0.000334713246823104,3.2708376906748216e-05,8.250275686131703e-07,1.6210559608653805e-07,0.0006008534813267505,0.0008683796263701843,0.0008514796406541189,0.001254229777757733
0.2771726686945998,1803.929667217371,jc,0.7735005636063255,12.734156826528205,0.6585446392960039,0.04464857896288953,0.0013702311397605091,0.00017782169304741524,0.6589326830448201,0.04468680402704574,0.0013713842518796773,0.00017804203066627882,0.0003880437488161803,3.8225064156204025e-05,1.1531121191681645e-06,2.20337618863579e-07,0.000589244412088763,0.0008561317077521207,0.0008415456967134077,0.0012390930211469032
0.28656003663363094,1744.8350644903553,jc,0.7084424060038812,12.2697127388426,0.7665940875385759,0.05253863029860882,0.001916447692412873,0.00024166802915610343,0.7670368319280251,0.05258296418662525,0.0019180408222021642,0.00024196377289088065,0.0004427443894491345,4.433388801643179e-05,1.5931297892911138e-06,2.9574373477722475e-07,0.0005775473573905631,0.0008438341038671066,0.0008312931240431139,0.0012237602789659512
0.2959474045726621,1689.4893899204246,jc,0.6475109204244034,11.834733013262602,0.8790759497167525,0.0614002693240219,0.0026529709253530825,0.000324673867138737,0.8795732997739356,0.06145132299533316,0.0026551483744315083,0.00032506615544294865,0.0004973500571830991,5.1053671311258875e-05,2.1774490784258298e-06,3.922883042116595e-07,0.0005657646046889924,0.0008314893708664063,0.0008207587416873158,0.0012082534010784123
0.3053347725116933,1637.5468666309591,jc,0.590327100160686,11.426499843599359,0.9936252168378594,0.07129692100560692,0.0036374551383784857,0.0004314818169567241,0.9941755839208185,0.07135532029823138,0.0036404013821431432,0.00043199640223071074,0.0005503670829590801,5.839929262446697e-05,2.9462437646575294e-06,5.14585273986626e-07,0.0005538980630046645,0.0008190997844054773,0.0008099739110379554,0.0011926001369328546
0.31472214045072444,1588.70297235502,jc,0.547241080440657,11.044039782373728,1.1075409225716626,0.08229352047556478,0.004942419670371981,0.0005676936514951574,1.1081411681844853,0.08235990838065846,0.004946368763918581,0.0005683617841333277,0.0006002456128226807,6.638790509368164e-05,3.949093546599773e-06,6.681326381703049e-07,0.000541962468916215,0.0008067209266298681,0.0007990202795349737,0.0011769246254747035
0.32410950838975566,1542.6884650317893,jc,0.5196753905540418,10.685466132606722,1.21831384152433,0.09445055985122305,0.006658709985611728,0.0007398796653362908,1.2189595372129844,0.09452559167730051,0.0066639568458786705,0.000740738903550152,0.0006456956886544685,7.503182607745962e-05,5.246860266942301e-06,8.592382138612612e-07,0.0005299912605824021,0.0007944031903638104,0.0007879694833203158,0.0011613215690563943
0.33349687632878683,1499.2644174185955,jc,0.4936603860337387,10.347078899176148,1.3242801043536518,0.10782248050652479,0.008900062015755831,0.00095548085604881,1.3249660544660304,0.10790680787333372,0.008906975460249125,0.0009565755713084879,0.0006859501123785972,8.432736680892561e-05,6.913444493293619e-06,1.0947152596778613e-06,0.000517979625400619,0.00078209447985963,0.0007767861034063255,0.0011457218140453653
0.342884244267818,1458.2180673471335,jc,0.46907062234093294,10.027220111609271,1.4238648504135156,0.1224647731304471,0.01180715844321256,0.0012232138099484925,1.4245852228420348,0.12255904608052498,0.011816196671333566,0.0012245962287324062,0.0007203724285191893,9.427295007788383e-05,9.038228121005867e-06,1.382418783913656e-06,0.0005059275311908853,0.0007697964701854804,0.0007654871546338539,0.0011301530220394318
