x_alaee,epsilon_r,m_real,m_imag,grid_Nu,grid_Ntheta,grid_Nphi,mie_ED,mie_MD,mie_EQ,mie_MQ
0.2,6.25,2.5,0.0,60,61,120,0.041153187265704064,0.0005796116163078156,2.3900852230038718e-05,9.320856619803946e-08
0.20402010050251257,6.25,2.5,0.0,60,61,120,0.046684994523500556,0.0007225305980649474,2.9153493866941232e-05,1.238491887470688e-07
0.20804020100502513,6.25,2.5,0.0,60,61,120,0.0528323195557347,0.0008980541268093617,3.542400996094272e-05,1.6370200486897084e-07
0.2120603015075377,6.25,2.5,0.0,60,61,120,0.05964856153065824,0.0011131656755186679,4.288450520286109e-05,2.1529374450780106e-07
0.21608040201005027,6.25,2.5,0.0,60,61,120,0.06719003994386967,0.001376288871423405,5.173217303944394e-05,2.8178217523072317e-07
0.22010050251256283,6.25,2.5,0.0,60,61,120,0.07551593438821848,0.0016975840181281945,6.219241076334355e-05,3.670995346874478e-07
0.2241206030150754,6.25,2.5,0.0,60,61,120,0.08468818366323957,0.0020893081186662363,7.452226152226312e-05,4.7612570826235417e-07
0.22814070351758794,6.25,2.5,0.0,60,61,120,0.0947713389229736,0.002566253003826923,8.901421257631381e-05,6.14896825534377e-07
0.23216080402010053,6.25,2.5,0.0,60,61,120,0.10583236551003966,0.0031462798264640292,0.00010600038152762383,7.908559619672811e-07
0.2361809045226131,6.25,2.5,0.0,60,61,120,0.11794038821382719,0.003850972833275566,0.00012585712484440545,1.0131538194539713e-06
0.24020100502512565,6.25,2.5,0.0,60,61,120,0.13116637495364664,0.004706441261501642,0.00014901010582255535,1.2930086511159991e-06
0.2442211055276382,6.25,2.5,0.0,60,61,120,0.14558275435667006,0.005744305809788674,0.00017593986219305484,1.6441363277656314e-06
0.24824120603015076,6.25,2.5,0.0,60,61,120,0.1612629634079499,0.007002915899343775,0.00020718791691676686,2.083263357846756e-06
0.2522613065326633,6.25,2.5,0.0,60,61,120,0.17828092232564793,0.008528856528787937,0.00024336347933601768,2.6307379194669846e-06
0.2562814070351759,6.25,2.5,0.0,60,61,120,0.196710435083708,0.010378819794058447,0.0002851507878036995,3.3112566016531145e-06
0.26030150753768844,6.25,2.5,0.0,60,61,120,0.21662451558347,0.012621937221017036,0.00033331714921765204,4.154727652786038e-06
0.264321608040201,6.25,2.5,0.0,60,61,120,0.238094641370763,0.015342696416584053,0.0003887217355862918,5.197295181397774e-06
0.26834170854271355,6.25,2.5,0.0,60,61,120,0.2611899389967366,0.01864460109804372,0.00045232520288019426,6.4825530485747e-06
