x_alaee,lambda_nm,channel,paper_exact_normalized_csca,source_x_px,trace_y_px,nearest_rgb_residual,colour_strength,source_sha256,provenance,gate_role
0.360000,1388.888888889,MD,2.989448124,168.853333,222.026667,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.360000,1388.888888889,EQ,1.724812362,168.853333,276.586667,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.360000,1388.888888889,MQ,0.069536424,168.853333,348.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.380000,1315.789473684,ED,2.607152318,186.826667,238.520000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.380000,1315.789473684,MD,3.574481236,186.826667,196.786667,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.380000,1315.789473684,EQ,1.807947020,186.826667,273.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.380000,1315.789473684,MQ,0.069536424,186.826667,348.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.400000,1250.000000000,ED,2.688741722,204.800000,235.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.400000,1250.000000000,MD,2.303973510,204.800000,251.600000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.400000,1250.000000000,EQ,1.029139073,204.800000,306.600000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
