mu,phi_rad,weight,dx,dy,dz,Efarx_re,Efarx_im,Efary_re,Efary_im,Efarz_re,Efarz_im
-0.98940093499164990,0.0000000000000000,0.0053313729384284160,0.14520946882916713,0.0000000000000000,-0.98940093499164990,2.9713072829804114e-08,-1.7500515348505791e-07,2.5026285110455530e-12,9.4657937985756590e-13,4.3608403532938500e-09,-2.5684638533463688e-08
-0.98940093499164990,0.19634954084936207,0.0053313729384284160,0.14241930960281884,0.028328962033673154,-0.98940093499164990,2.9688252641436242e-08,-1.7512117771365213e-07,1.2697968096037655e-10,5.8425238797367550e-10,4.2771110248689320e-09,-2.5191087941820460e-08
-0.98940093499164990,0.39269908169872414,0.0053313729384284160,0.13415605617810320,0.055569257943457190,-0.98940093499164990,2.9617708972503402e-08,-1.7545158704194437e-07,2.3250802529002612e-10,1.0787506306787862e-09,4.0290191632442075e-09,-2.3729457660035403e-08
-0.98940093499164990,0.58904862254808620,0.0053313729384284160,0.12073726075004612,0.080674058434073050,-0.98940093499164990,2.9512173579962396e-08,-1.7594607873379766e-07,3.0302790727917976e-10,1.4091574108635662e-09,3.6260987442403190e-09,-2.1355917900868380e-08
-0.98940093499164990,0.78539816339744830,0.0053313729384284160,0.10267860010160068,0.10267860010160067,-0.98940093499164990,2.9387706556098614e-08,-1.7652936919233264e-07,3.2780820787796030e-10,1.5251695896099620e-09,3.0838332058875443e-09,-1.8161683086806827e-08
-0.98940093499164990,0.98174770424681030,0.0053313729384284160,0.080674058434073060,0.12073726075004612,-0.98940093499164990,2.9263251552785165e-08,-1.7711265528132765e-07,3.0308001120421873e-10,1.4091230050179143e-09,2.4230604917524917e-09,-1.4269506476677351e-08
-0.98940093499164990,1.1780972450961724,0.0053313729384284160,0.055569257943457200,0.13415605617810320,-0.98940093499164990,2.9157751937151104e-08,-1.7760713388352658e-07,2.3261026749408900e-10,1.0786817301153674e-09,1.6691723811382240e-09,-9.8289627638872130e-09
-0.98940093499164990,1.3744467859455345,0.0053313729384284160,0.028328962033673164,0.14241930960281884,-0.98940093499164990,2.9087266931043577e-08,-1.7793752146686224e-07,1.2712821571270061e-10,5.8414896351478760e-10,8.5113886947441370e-10,-5.0106999322307360e-09
-0.98940093499164990,1.5707963267948966,0.0053313729384284160,8.8915155603763450e-18,0.14520946882916713,-0.98940093499164990,2.9062526789208680e-08,-1.7805351543047210e-07,2.6918956990924590e-12,8.0894837360867750e-13,3.9507618274418544e-13,1.1872534125689200e-13
-0.98940093499164990,1.7671458676442586,0.0053313729384284160,-0.028328962033673143,0.14241930960281884,-0.98940093499164990,2.9087299225193570e-08,-1.7793745234741844e-07,-1.2175655364234113e-10,-5.8253421050649380e-10,-8.5036657028126090e-10,5.0109303887812070e-09
-0.98940093499164990,1.9634954084936207,0.0053313729384284160,-0.055569257943457184,0.13415605617810320,-0.98940093499164990,2.9157815780586875e-08,-1.7760699720793912e-07,-2.2727461395283130e-10,-1.0770759796348025e-09,-1.6684524884449752e-09,9.8291728164385140e-09
-0.98940093499164990,2.1598449493429825,0.0053313729384284160,-0.080674058434073000,0.12073726075004615,-0.98940093499164990,2.9263345460451523e-08,-1.7711245425039285e-07,-2.9780309710964746e-10,-1.4075308828170076e-09,-2.4224242034510423e-09,1.4269684372700729e-08
-0.98940093499164990,2.3561944901923450,0.0053313729384284160,-0.10267860010160067,0.10267860010160068,-0.98940093499164990,2.9387828295508513e-08,-1.7652910877898214e-07,-3.2261082605058466e-10,-1.5235938384590674e-09,-3.0833064630481404e-09,1.8161819590663817e-08
-0.98940093499164990,2.5525440310417070,0.0053313729384284160,-0.12073726075004614,0.080674058434073050,-0.98940093499164990,2.9512320130403673e-08,-1.7594576585047068e-07,-2.9792811319596950e-10,-1.4075984822466560e-09,-3.6257007994105260e-09,2.1356006831875827e-08
-0.98940093499164990,2.7488935718910690,0.0053313729384284160,-0.13415605617810320,0.055569257943457210,-0.98940093499164990,2.9617876441018560e-08,-1.7545123069879807e-07,-2.2752036697777550e-10,-1.0772065816511100e-09,-4.0287617412561880e-09,2.3729496063139576e-08
-0.98940093499164990,2.9452431127404310,0.0053313729384284160,-0.14241930960281884,0.028328962033673206,-0.98940093499164990,2.9688436151781846e-08,-1.7512078911301188e-07,-1.2211451705592477e-10,-5.8271911348873570e-10,-4.2769981387548930e-09,2.5191075906092740e-08
-0.98940093499164990,3.1415926535897930,0.0053313729384284160,-0.14520946882916713,1.7783031120752690e-17,-0.98940093499164990,2.9713266429645854e-08,-1.7500474598869595e-07,2.2344004405930716e-12,5.8163134529359690e-13,-4.3608687669823350e-09,2.5684578727244090e-08
-0.98940093499164990,3.3379421944391554,0.0053313729384284160,-0.14241930960281884,-0.028328962033673168,-0.98940093499164990,2.9688596274038765e-08,-1.7512076693800314e-07,1.2658780400465607e-10,5.8389308186758980e-10,-4.2771492686678440e-09,2.5191039100532980e-08
-0.98940093499164990,3.5342917352885173,0.0053313729384284160,-0.13415605617810322,-0.055569257943457180,-0.98940093499164990,2.9618190225599730e-08,-1.7545118887139628e-07,2.3200709192313467e-10,1.0784117400091254e-09,-4.0290562832029590e-09,2.3729422704451240e-08
-0.98940093499164990,3.7306412761378790,0.0053313729384284160,-0.12073726075004615,-0.080674058434073000,-0.98940093499164990,2.9512774877461125e-08,-1.7594570899617300e-07,3.0243712534162394e-10,1.4088526731327946e-09,-3.6261239496302034e-09,2.1355897629330474e-08
-0.98940093499164990,3.9269908169872414,0.0053313729384284160,-0.10267860010160070,-0.10267860010160067,-0.98940093499164990,2.9388405523913537e-08,-1.7652904287354950e-07,3.2715067704016293e-10,1.5249109375025681e-09,-3.0838375061572840e-09,1.8161676064456722e-08
-0.98940093499164990,4.1233403578366040,0.0053313729384284160,-0.080674058434073050,-0.12073726075004612,-0.98940093499164990,2.9264021631206223e-08,-1.7711238568762200e-07,3.0238170175409430e-10,1.4089200327440102e-09,-2.4230380674572615e-09,1.4269509263310987e-08
-0.98940093499164990,4.3196898986859650,0.0053313729384284160,-0.055569257943457274,-0.13415605617810317,-0.98940093499164990,2.9158563299849250e-08,-1.7760693187163163e-07,2.3189878564323825e-10,1.0785414410283645e-09,-1.6691214788453852e-09,9.8289704402288230e-09
-0.98940093499164990,4.5160394395353270,0.0053313729384284160,-0.028328962033673213,-0.14241930960281882,-0.98940093499164990,2.9088087709774683e-08,-1.7793739485912134e-07,1.2643148276458352e-10,5.8407576965960300e-10,-8.5106207915284540e-10,5.0107068430312095e-09
-0.98940093499164990,4.7123889803846900,0.0053313729384284160,-2.6674546681129030e-17,-0.14520946882916713,-0.98940093499164990,2.9063324530631110e-08,-1.7805346869415474e-07,2.0368796418802104e-12,8.0483130801948040e-13,-2.9894272423876225e-13,-1.1812109993154397e-13
-0.98940093499164990,4.9087385212340520,0.0053313729384284160,0.028328962033673160,-0.14241930960281884,-0.98940093499164990,2.9088042445366803e-08,-1.7793748655750322e-07,-1.2234493942436012e-10,-5.8246949544739720e-10,8.5047254567428320e-10,-5.0109406837080156e-09
-0.98940093499164990,5.1050880620834140,0.0053313729384284160,0.055569257943457226,-0.13415605617810317,-0.98940093499164990,2.9158475453651720e-08,-1.7760711024921728e-07,-2.2777438073809709e-10,-1.0769447582057149e-09,1.6685573036718854e-09,-9.8291969580869700e-09
-0.98940093499164990,5.3014376029327760,0.0053313729384284160,0.080674058434072990,-0.12073726075004615,-0.98940093499164990,2.9263896290365554e-08,-1.7711264116877785e-07,-2.9819581586432416e-10,-1.4073375271310967e-09,2.4225170409126570e-09,-1.4269723209030166e-08
-0.98940093499164990,5.4977871437821380,0.0053313729384284160,0.10267860010160065,-0.10267860010160070,-0.98940093499164990,2.9388249669486400e-08,-1.7652936217732210e-07,-3.2288207391123553e-10,-1.5233448252983706e-09,3.0833783423419987e-09,-1.8161871730203910e-08
-0.98940093499164990,5.6941366846315000,0.0053313729384284160,0.12073726075004612,-0.080674058434073050,-0.98940093499164990,2.9512596723864498e-08,-1.7594607624457178e-07,-2.9806780241164756e-10,-1.4073024656407513e-09,3.6257459423155870e-09,-2.1356068846163930e-08
-0.98940093499164990,5.8904862254808620,0.0053313729384284160,0.13415605617810317,-0.055569257943457280,-0.98940093499164990,2.9617998513934005e-08,-1.7545158679611233e-07,-2.2752301943294310e-10,-1.0768743685782174e-09,4.0287784424894990e-09,-2.3729563006118008e-08
