2a_over_lambda,ED,MD,EQ,MQ
0.541709,2.851612e+00,1.865219e+00,8.184803e-01,6.727109e+00
0.545729,2.753582e+00,1.866726e+00,8.976705e-01,6.659057e+00
0.549749,2.643235e+00,1.868337e+00,9.843001e-01,6.183577e+00
0.553769,2.521678e+00,1.869951e+00,1.079002e+00,5.526523e+00
0.557789,2.390428e+00,1.871462e+00,1.182438e+00,4.856482e+00
0.561809,2.251360e+00,1.872767e+00,1.295288e+00,4.255064e+00
0.565829,2.106618e+00,1.873759e+00,1.418239e+00,3.746069e+00
0.569849,1.958508e+00,1.874329e+00,1.551965e+00,3.326237e+00
0.573869,1.809376e+00,1.874366e+00,1.697105e+00,2.983019e+00
0.577889,1.661482e+00,1.873754e+00,1.854224e+00,2.702512e+00
0.581910,1.516894e+00,1.872374e+00,2.023772e+00,2.472336e+00
0.585930,1.377409e+00,1.870102e+00,2.206023e+00,2.282327e+00
0.589950,1.244490e+00,1.866808e+00,2.401011e+00,2.124425e+00
0.593970,1.119251e+00,1.862357e+00,2.608439e+00,1.992325e+00
0.597990,1.002452e+00,1.856609e+00,2.827582e+00,1.881113e+00
0.602010,8.945311e-01,1.849413e+00,3.057180e+00,1.786946e+00
0.606030,7.956379e-01,1.840615e+00,3.295321e+00,1.706807e+00
0.610050,7.056861e-01,1.830051e+00,3.539338e+00,1.638309e+00
0.614070,6.244017e-01,1.817547e+00,3.785722e+00,1.579547e+00
0.618090,5.513721e-01,1.802923e+00,4.030080e+00,1.528992e+00
0.622111,4.860894e-01,1.785987e+00,4.267162e+00,1.485405e+00
0.626131,4.279879e-01,1.766540e+00,4.490979e+00,1.447771e+00
0.630151,3.764746e-01,1.744370e+00,4.695024e+00,1.415259e+00
0.634171,3.309522e-01,1.719258e+00,4.872618e+00,1.387175e+00
0.638191,2.908376e-01,1.690973e+00,5.017342e+00,1.362940e+00
0.642211,2.555733e-01,1.659278e+00,5.123538e+00,1.342067e+00
0.646231,2.246361e-01,1.623925e+00,5.186796e+00,1.324141e+00
0.650251,1.975415e-01,1.584661e+00,5.204368e+00,1.308808e+00
0.654271,1.738459e-01,1.541230e+00,5.175434e+00,1.295763e+00
0.658291,1.531470e-01,1.493375e+00,5.101168e+00,1.284740e+00
0.662312,1.350826e-01,1.440841e+00,4.984607e+00,1.275508e+00
0.666332,1.193284e-01,1.383387e+00,4.830327e+00,1.267862e+00
0.670352,1.055959e-01,1.320791e+00,4.644016e+00,1.261620e+00
0.674372,9.362951e-02,1.252860e+00,4.431984e+00,1.256619e+00
0.678392,8.320344e-02,1.179451e+00,4.200702e+00,1.252711e+00
0.682412,7.411896e-02,1.100488e+00,3.956405e+00,1.249762e+00
0.686432,6.620159e-02,1.015986e+00,3.704801e+00,1.247647e+00
0.690452,5.929843e-02,9.260901e-01,3.450880e+00,1.246252e+00
0.694472,5.327575e-02,8.311095e-01,3.198819e+00,1.245469e+00
0.698492,4.801669e-02,7.315869e-01,2.951975e+00,1.245194e+00
0.702513,4.341928e-02,6.284468e-01,2.713013e+00,1.245329e+00
0.706533,3.939454e-02,5.231431e-01,2.484022e+00,1.245781e+00
0.710553,3.586485e-02,4.175769e-01,2.266374e+00,1.246456e+00
0.714573,3.276249e-02,3.142626e-01,2.060835e+00,1.247263e+00
0.718593,3.002830e-02,2.166727e-01,1.867819e+00,1.248114e+00
0.722613,2.761055e-02,1.294810e-01,1.687463e+00,1.248917e+00
0.726633,2.546392e-02,5.883002e-02,1.519678e+00,1.249583e+00
0.730653,2.354861e-02,1.264963e-02,1.364196e+00,1.250018e+00
0.734673,2.182954e-02,9.966060e-04,1.220624e+00,1.250131e+00
0.738693,2.027575e-02,3.636445e-02,1.088480e+00,1.249825e+00
0.742714,1.885974e-02,1.338823e-01,9.672259e-01,1.249001e+00
0.746734,1.755709e-02,3.112760e-01,8.562896e-01,1.247557e+00
0.750754,1.634599e-02,5.884128e-01,7.550853e-01,1.245389e+00
0.754774,1.520699e-02,9.862131e-01,6.630251e-01,1.242385e+00
0.758794,1.412274e-02,1.524723e+00,5.795290e-01,1.238432e+00
0.762814,1.307787e-02,2.220257e+00,5.040312e-01,1.233410e+00
0.766834,1.205892e-02,3.081780e+00,4.359850e-01,1.227194e+00
0.770854,1.105437e-02,4.107123e+00,3.748653e-01,1.219654e+00
0.774874,1.005478e-02,5.280048e+00,3.201705e-01,1.210653e+00
0.778894,9.053009e-03,6.569386e+00,2.714233e-01,1.200049e+00
0.782915,8.044556e-03,7.931176e+00,2.281710e-01,1.187693e+00
0.786935,7.028055e-03,9.313792e+00,1.899853e-01,1.173431e+00
0.790955,6.005893e-03,1.066492e+01,1.564618e-01,1.157099e+00
0.794975,4.985010e-03,1.193851e+01,1.272195e-01,1.138532e+00
0.798995,3.977904e-03,1.309980e+01,1.019001e-01,1.117558e+00
0.803015,3.003854e-03,1.412756e+01,8.016720e-02,1.093999e+00
0.807035,2.090435e-03,1.501355e+01,6.170522e-02,1.067677e+00
0.811055,1.275366e-03,1.576013e+01,4.621899e-02,1.038414e+00
0.815075,6.087860e-04,1.637710e+01,3.343273e-02,1.006035e+00
0.819095,1.560229e-04,1.687858e+01,2.308927e-02,9.703697e-01
0.823116,9.182082e-07,1.728050e+01,1.494934e-02,9.312605e-01
0.827136,2.497731e-04,1.759885e+01,8.790743e-03,8.885640e-01
0.831156,1.036062e-03,1.784850e+01,4.407707e-03,8.421620e-01
0.835176,2.526096e-03,1.804270e+01,1.610129e-03,7.919722e-01
0.839196,4.925840e-03,1.819284e+01,2.229096e-04,7.379637e-01
0.843216,8.489099e-03,1.830846e+01,8.528668e-05,6.801763e-01
0.847236,1.352734e-02,1.839744e+01,1.050189e-03,6.187445e-01
0.851256,2.042148e-02,1.846617e+01,2.983611e-03,5.539247e-01
0.855276,2.963566e-02,1.851978e+01,5.764006e-03,4.860862e-01
0.859296,4.173077e-02,1.856235e+01,9.281702e-03,4.154470e-01
0.863317,5.738250e-02,1.859710e+01,1.343833e-02,3.428240e-01
0.867337,7.743713e-02,1.862655e+01,1.814630e-02,2.712314e-01
0.871357,1.028919e-01,1.865262e+01,2.332825e-02,2.015934e-01
0.875377,1.349484e-01,1.867682e+01,2.891659e-02,1.361374e-01
0.879397,1.750568e-01,1.870025e+01,3.485301e-02,7.825630e-02
0.883417,2.249597e-01,1.872374e+01,4.108808e-02,3.247332e-02
0.887437,2.867454e-01,1.874790e+01,4.758080e-02,4.771708e-03
0.891457,3.629105e-01,1.877312e+01,5.429831e-02,3.033204e-03
0.895477,4.564316e-01,1.879966e+01,6.121551e-02,3.758514e-02
0.899497,5.708462e-01,1.882766e+01,6.831480e-02,1.218702e-01
0.903518,7.103410e-01,1.885716e+01,7.558587e-02,2.732398e-01
0.907538,8.798469e-01,1.888813e+01,8.302552e-02,5.138425e-01
0.911558,1.085136e+00,1.892046e+01,9.063752e-02,8.715190e-01
0.915578,1.332913e+00,1.895401e+01,9.843258e-02,1.380515e+00
0.919598,1.630890e+00,1.898857e+01,1.064284e-01,2.081657e+00
0.923618,1.987831e+00,1.902393e+01,1.146497e-01,3.021400e+00
0.927638,2.413536e+00,1.905982e+01,1.231284e-01,4.248911e+00
0.931658,2.918741e+00,1.909595e+01,1.319042e-01,5.810159e+00
0.935678,3.514889e+00,1.913201e+01,1.410244e-01,7.738258e+00
0.939698,4.213731e+00,1.916767e+01,1.505451e-01,1.004029e+01
0.943719,5.026700e+00,1.920257e+01,1.605315e-01,1.268308e+01
0.947739,5.964047e+00,1.923634e+01,1.710590e-01,1.558299e+01
0.951759,7.033692e+00,1.926859e+01,1.822139e-01,1.860683e+01
0.955779,8.239869e+00,1.929891e+01,1.940954e-01,2.158815e+01
0.959799,9.581643e+00,1.932688e+01,2.068168e-01,2.435705e+01
0.963819,1.105153e+01,1.935206e+01,2.205062e-01,2.677324e+01
0.967839,1.263446e+01,1.937402e+01,2.353052e-01,2.874967e+01
0.971859,1.430744e+01,1.939225e+01,2.513561e-01,3.025911e+01
0.975879,1.604018e+01,1.940600e+01,2.687872e-01,3.132490e+01
0.979899,1.779674e+01,1.941428e+01,2.877886e-01,3.200346e+01
0.983920,1.953822e+01,1.941665e+01,3.086932e-01,3.236615e+01
0.987940,2.122603e+01,1.941286e+01,3.318286e-01,3.248551e+01
0.991960,2.282514e+01,1.940239e+01,3.574941e-01,3.242689e+01
0.995980,2.430694e+01,1.938453e+01,3.860310e-01,3.224485e+01
1.000000,2.565099e+01,1.935862e+01,4.178448e-01,3.198251e+01
