x_alaee,epsilon_r,m_real,m_imag,grid_Nu,grid_Ntheta,grid_Nphi,table2_ED,table2_MD,table2_EQ,table2_MQ,abs_err_ED,abs_err_MD,abs_err_EQ,abs_err_MQ,rel_err_ED,rel_err_MD,rel_err_EQ,rel_err_MQ
0.2,6.25,2.5,0.0,60,61,120,0.041153179294589365,0.0005796120515391885,2.3900968721998747e-05,9.320793469403944e-08,7.971114698857029e-09,4.352313728601259e-10,1.1649196002969033e-10,6.315040000215755e-13,1.936937386499815e-07,7.509017428473805e-07,4.873966790325686e-06,6.775171272132051e-06
0.20402010050251257,6.25,2.5,0.0,60,61,120,0.04668498523106157,0.0007225311137218122,2.915363606818575e-05,1.2384842166122796e-07,9.292438984953577e-09,5.15656864864128e-10,1.4220124451669682e-10,7.670858408364646e-13,1.9904551943935427e-07,7.136816990797893e-07,4.8776741877222036e-06,6.193709047243312e-06
0.20804020100502513,6.25,2.5,0.0,60,61,120,0.052832308774832255,0.0008980547341263542,3.5424182960101176e-05,1.6370108025256084e-07,1.0780902441609452e-08,6.073169924857708e-10,1.7299915845573124e-10,9.246164100062981e-13,2.0405885132937035e-07,6.762587848056196e-07,4.883669540700618e-06,5.648167905740512e-06
0.2120603015075377,6.25,2.5,0.0,60,61,120,0.059648549081334275,0.0011131663864598518,4.288471500072552e-05,2.1529263880932927e-07,1.2449323967544945e-08,7.109411839616164e-10,2.0979786443129983e-10,1.1056984717971397e-12,2.0871121864600584e-07,6.38666102986297e-07,4.892160080636839e-06,5.135766830220537e-06
0.21608040201005027,6.25,2.5,0.0,60,61,120,0.06719002563373047,0.001376289698487052,5.173242670137132e-05,2.817808638219775e-07,1.4310139198614458e-08,8.270636469524112e-10,2.5366192738012156e-10,1.3114087456924186e-12,2.1298006684575718e-07,6.009375387138266e-07,4.90336888007224e-06,4.653980489073298e-06
0.22010050251256283,6.25,2.5,0.0,60,61,120,0.07551591801312804,0.0016975849740509493,6.219271659678335e-05,3.6709799268107015e-07,1.6375090436393513e-08,9.55922754798319e-10,3.0583343980418193e-10,1.5420063776636388e-12,2.1684285004289443e-07,5.631077723342066e-07,4.917536336836156e-06,4.200513027009196e-06
0.2241206030150754,6.25,2.5,0.0,60,61,120,0.08468816500837578,0.002089309215996503,7.452262928380137e-05,4.7612391170916966e-07,1.865486379259984e-08,1.0973302665834295e-09,3.677615382499189e-10,1.7965531845157705e-12,2.2027705620397334e-07,5.252122732782652e-07,4.934921870829862e-06,3.773274900597966e-06
0.22814070351758794,6.25,2.5,0.0,60,61,120,0.0947713177643017,0.0025662542543294455,8.901465371345996e-05,6.148947531089463e-07,2.115867189789178e-08,1.2505025227121935e-09,4.4113714615348805e-10,2.0724254307668375e-12,2.232602402619711e-07,4.872873098823002e-07,4.955805745911549e-06,3.3703628717968954e-06
0.23216080402010053,6.25,2.5,0.0,60,61,120,0.10583234161626018,0.003146281240307758,0.00010600090946158096,7.908535972744107e-07,2.3893779482753175e-08,1.4138437287244954e-09,5.27933957130116e-10,2.3646928704089418e-12,2.257700597317417e-07,4.49369988273883e-07,4.980491103162075e-06,2.9900424149635136e-06
0.2361809045226131,6.25,2.5,0.0,60,61,120,0.11794036134885653,0.0038509744179440484,0.0001258577553012738,1.0131511541172606e-06,2.6864970650852804e-08,1.584668482372542e-09,6.304568683519057e-10,2.6653367106636394e-12,2.2778431593888197e-07,4.1149822420966095e-07,5.009306140842852e-06,2.6307325299332086e-06
0.24020100502512565,6.25,2.5,0.0,60,61,120,0.1311663448796903,0.004706443020349436,0.0001490108572218866,1.293005688843221e-06,3.0073956325260554e-08,1.758847793971452e-09,7.513993312648938e-10,2.962272778223542e-12,2.2928099016145334e-07,3.737107713122233e-07,5.042606520658924e-06,2.2909922340169933e-06
0.2442211055276382,6.25,2.5,0.0,60,61,120,0.14558272083794602,0.00574430774014673,0.00017594075610442028,1.6441330896244748e-06,3.351872404633305e-08,1.9303580556934152e-09,8.939113654480267e-10,3.238141156657474e-12,2.3023828745686417e-07,3.360472300071417e-07,5.080777910733828e-06,1.969508916002168e-06
0.24824120603015076,6.25,2.5,0.0,60,61,120,0.1612629262151192,0.007002917990050825,0.00020718897859711406,2.083259889030121e-06,3.7192830704135815e-08,2.0907070501924307e-09,1.0616803472062071e-09,3.4688166349270137e-12,2.3063467220336528e-07,2.985480734372871e-07,5.124238724948007e-06,1.6650879121266523e-06
0.2522613065326633,6.25,2.5,0.0,60,61,120,0.17828088124100025,0.008528858756991215,0.00024336473836309008,2.6307342978788406e-06,4.108464768393105e-08,2.2282032781373307e-09,1.259027072403546e-09,3.6215881440034546e-12,2.3044892940864327e-07,2.612546325074585e-07,5.173442933338317e-06,1.3766434570332368e-06
0.2562814070351759,6.25,2.5,0.0,60,61,120,0.19671038990715048,0.010378822121084631,0.0002851522788237903,3.3112529487061917e-06,4.51765575226748e-08,2.3270261845925733e-09,1.4910200907595171e-09,3.6529469228142875e-12,2.2966019826782653e-07,2.242091327112861e-07,5.22888294380568e-06,1.1031905292361176e-06
0.26030150753768844,6.25,2.5,0.0,60,61,120,0.21662446613935127,0.012621939587058414,0.0003333189128294726,4.154724146869802e-06,4.944411874374666e-08,2.366041378445982e-09,1.7636118205470279e-09,3.5059162358655536e-12,2.2824802913267124e-07,1.8745469392022012e-07,5.291092356593423e-06,8.43837798493143e-07
0.264321608040201,6.25,2.5,0.0,60,61,120,0.23809458751555576,0.015342698733873774,0.0003887238193868708,5.197292074553647e-06,5.385520723821813e-08,2.3172897212209165e-09,2.083800578975021e-09,3.1068441268210212e-12,2.2619243729368248e-07,1.5103536290505872e-07,5.360648474755641e-06,5.97780964595022e-07
0.26834170854271355,6.25,2.5,0.0,60,61,120,0.26118988062758597,0.018644603242100124,0.00045232766270344435,6.482550686999789e-06,5.836915062396031e-08,2.1440564046404376e-09,2.4598232500915897e-09,2.3615749113192752e-12,2.2347396246640877e-07,1.1499609958753165e-07,5.438174203932462e-06,3.642970437146685e-07
0.27236180904522617,6.25,2.5,0.0,60,61,120,0.285976244665874,0.022654781568747433,0.0005252031044109446,8.06298110134146e-06,6.293587145878021e-08,1.7984002932680543e-09,2.901383914805794e-09,1.1509018971135251e-12,2.200737256403267e-07,7.938281949763122e-08,5.524338905589631e-06,1.4273898429992334e-07
0.2763819095477387,6.25,2.5,0.0,60,61,120,0.3125154225183706,0.02752980951809599,0.0006085462859562375,1.0001652250488672e-05,6.749506159531293e-08,1.2179848345172939e-09,3.4199242279243924e-09,6.748051807414042e-13,2.1597349172168052e-07,4.4242401590292806e-08,5.619857562744813e-06,6.7469374996228e-08
0.2804020100502513,6.25,2.5,0.0,60,61,120,0.3408640315450309,0.03346308953646355,0.0007036893648476431,1.2374231630717567e-05,7.197541129766449e-08,3.2200565824869187e-10,4.028941375400913e-09,3.3019140654506505e-12,2.1115573788586982e-07,9.622711644613126e-09,5.725487188406575e-06,2.668379779096837e-07
0.28442211055276384,6.25,2.5,0.0,60,61,120,0.37107256912094083,0.04069422924462771,0.0008121141957790374,1.5271361320374706e-05,7.629392034802507e-08,9.940538323038872e-10,4.744358848276717e-09,6.960912603298135e-12,2.056037309425707e-07,2.442738998805285e-08,5.84201900369457e-06,4.5581501414019426e-07
