x_alaee,branch,l,m,got_re,got_im,target_re,target_im,rel
0.02,a_E,1,-1,1.1101117132114239e-08,-0.00010536184890293319,1.1101114872925672e-08,-0.00010536182776362092,2.0063539820125504e-07
0.02,a_E,1,1,-1.1101117132114466e-08,0.00010536184890293319,-1.1101114872925672e-08,0.00010536182776362092,2.0063539820125528e-07
0.02492462311557789,a_E,1,-1,4.164314672636138e-08,-0.00020406654040203135,4.164313843539248e-08,-0.00020406650068357986,1.9463484397341236e-07
0.02492462311557789,a_E,1,1,-4.164314672636178e-08,0.00020406654040203135,-4.164313843539248e-08,0.00020406650068357986,1.9463484397341276e-07
0.029849246231155778,a_E,1,-1,1.2305098431113897e-07,-0.0003507862475025445,1.2305096047095783e-07,-0.00035078618178232017,1.8735123571253002e-07
0.029849246231155778,a_E,1,1,-1.230509843111392e-07,0.0003507862475025445,-1.2305096047095783e-07,0.00035078618178232017,1.8735123571253023e-07
0.03477386934673367,a_E,1,-1,3.0820755689036944e-07,-0.0005551644029808242,3.082074991115959e-07,-0.0005551643037153357,1.7880380523313925e-07
0.03477386934673367,a_E,1,1,-3.0820755689036965e-07,0.0005551644029808242,-3.082074991115959e-07,0.0005551643037153357,1.7880380523313946e-07
0.03969849246231156,a_E,1,-1,6.838116115116335e-07,-0.000826928806958563,6.838114882271363e-07,-0.0008269286671950518,1.690152044977078e-07
0.03969849246231156,a_E,1,1,-6.838116115116351e-07,0.000826928806958563,-6.838114882271363e-07,0.0008269286671950518,1.6901520449770947e-07
0.04462311557788945,a_E,1,-1,1.382755254506005e-06,-0.001175905413423174,1.3827550163476244e-06,-0.0011759052276166602,1.5801149075795542e-07
0.04462311557788945,a_E,1,1,-1.3827552545060105e-06,0.001175905413423174,-1.3827550163476244e-06,0.0011759052276166602,1.5801149075796145e-07
0.04954773869346733,a_E,1,-1,2.5986536149630153e-06,-0.0016120320081855443,2.5986531905331204e-06,-0.001612031773115752,1.4582210713326963e-07
0.04954773869346733,a_E,1,1,-2.5986536149630166e-06,0.0016120320081855443,-2.5986531905331204e-06,0.001612031773115752,1.4582210713327104e-07
0.05447236180904523,a_E,1,-1,4.602640520637592e-06,-0.0021453717274414513,4.602639813690713e-06,-0.002145371443223168,1.3247986006399691e-07
0.05447236180904523,a_E,1,1,-4.602640520637597e-06,0.0021453717274414513,-4.602639813690713e-06,0.002145371443223168,1.3247986006400184e-07
0.059396984924623114,a_E,1,-1,7.762559577118286e-06,-0.0027861263505902334,7.762558466496373e-06,-0.002786126021769731,1.1802090045334597e-07
0.059396984924623114,a_E,1,1,-7.76255957711829e-06,0.0027861263505902334,-7.762558466496373e-06,0.002786126021769731,1.1802090045335009e-07
0.06432160804020101,a_E,1,-1,1.2564695488919843e-05,-0.0035446492826140407,1.2564693832932657e-05,-0.003544648919343288,1.024846897185646e-07
0.06432160804020101,a_E,1,1,-1.256469548891984e-05,0.0035446492826140407,-1.2564693832932657e-05,0.003544648919343288,1.0248468971856024e-07
0.0692462311557789,a_E,1,-1,1.9638205704982298e-05,-0.004431458119800757,1.963820335228374e-05,-0.004431457739080091,8.591398569334833e-08
0.0692462311557789,a_E,1,1,-1.9638205704982305e-05,0.004431458119800757,-1.963820335228374e-05,0.004431457739080091,8.591398569335778e-08
0.07417085427135679,a_E,1,-1,2.9782427302350584e-05,-0.005457246667530591,2.9782424111723907e-05,-0.005457246294509524,6.83548326890222e-08
0.07417085427135679,a_E,1,1,-2.9782427302350594e-05,0.005457246667530591,-2.9782424111723907e-05,0.005457246294509524,6.835483268903813e-08
0.07909547738693468,a_E,1,-1,4.39972481599603e-05,-0.006632896249826827,4.399724403177934e-05,-0.006632895919151525,4.9856623489849606e-08
0.07909547738693468,a_E,1,1,-4.399724815996029e-05,0.006632896249826827,-4.399724403177934e-05,0.006632895919151525,4.9856623489836854e-08
0.07909547738693468,a_M,1,-1,-1.2796864112292779e-08,0.00011312350763993423,-1.2796820200201259e-08,0.00011312303053066892,4.217613885050479e-06
0.07909547738693468,a_M,1,1,-1.2796864112291785e-08,0.00011312350763993423,-1.2796820200201259e-08,0.00011312303053066892,4.2176138850504784e-06
0.08402010050251257,a_E,1,-1,6.351674455182917e-05,-0.007969486116944233,6.351673947429543e-05,-0.007969485874139058,3.047254879510897e-08
0.08402010050251257,a_E,1,1,-6.351674455182917e-05,0.007969486116944233,-6.351673947429543e-05,0.007969485874139058,3.047254879510897e-08
0.08402010050251257,a_M,1,-1,-2.355947150770728e-08,0.00015349132639372738,-2.3559391956798135e-08,0.0001534906883226249,4.157067160754569e-06
0.08402010050251257,a_M,1,1,-2.3559471507709048e-08,0.00015349132639372738,-2.3559391956798135e-08,0.0001534906883226249,4.15706716075457e-06
0.08894472361809046,a_E,1,-1,8.98462988335722e-05,-0.009478302718949104,8.984629294712509e-05,-0.009478302621818358,1.026603435234782e-08
0.08894472361809046,a_E,1,1,-8.984629883357225e-05,0.009478302718949104,-8.984629294712509e-05,0.009478302621818358,1.0266034352607294e-08
0.08894472361809046,a_M,1,-1,-4.192634522266831e-08,0.00020475973126342625,-4.1926206080179636e-08,0.00020475889314599472,4.093191815140763e-06
0.08894472361809046,a_M,1,1,-4.192634522266795e-08,0.00020475973126342622,-4.1926206080179636e-08,0.00020475889314599472,4.093191815008388e-06
0.09386934673366835,a_E,1,-1,0.00012480342031183863,-0.011170847569520193,0.00012480341399537844,-0.011170847689554878,1.0759547086405442e-08
0.09386934673366835,a_E,1,1,-0.00012480342031183866,0.011170847569520193,-0.00012480341399537844,0.011170847689554878,1.0759547086532938e-08
0.09386934673366835,a_M,1,-1,-7.23913750418209e-08,0.00026905708846983997,-7.239113919509524e-08,0.0002690560052379768,4.026045984952921e-06
0.09386934673366835,a_M,1,1,-7.239137504182467e-08,0.00026905708846983997,-7.239113919509524e-08,0.0002690560052379768,4.026045984952924e-06
0.09879396984924624,a_E,1,-1,0.00017056249893002346,-0.013058843374541156,0.00017056249291275756,-0.013058843798314188,3.2451541038717096e-08
0.09879396984924624,a_E,1,1,-0.00017056249893002346,0.013058843374541156,-0.00017056249291275756,0.013058843798314188,3.2451541038717096e-08
0.09879396984924624,a_M,1,-1,-1.2165697283703636e-07,0.0003487943977547204,-1.2165658423183015e-07,0.00034879301803721025,3.9556912254957e-06
0.09879396984924624,a_M,1,1,-1.2165697283703935e-07,0.0003487943977547204,-1.2165658423183015e-07,0.00034879301803721025,3.955691225495701e-06
0.10371859296482412,a_E,1,-1,0.0002297037241603065,-0.015154238043930693,0.0002297037196630963,-0.01515423887446246,5.479975301253126e-08
0.10371859296482412,a_E,1,1,-0.0002297037241603066,0.015154238043930693,-0.0002297037196630963,0.01515423887446246,5.4799753012569994e-08
0.10371859296482412,a_M,1,-1,-1.9953122697879428e-07,0.0004466901748523293,-1.9953060288684458e-07,0.0004466884407216993,3.882192622880698e-06
0.10371859296482412,a_M,1,1,-1.9953122697880323e-07,0.0004466901748523292,-1.9953060288684458e-07,0.0004466884407216993,3.882192622637985e-06
0.10864321608040202,a_E,1,-1,0.0003052663993463768,-0.01746920614205269,0.00030526639825641147,-0.017469207500127388,7.772921765607367e-08
0.10864321608040202,a_E,1,1,-0.0003052663993463768,0.01746920614205269,-0.00030526639825641147,0.017469207500127388,7.772921765607367e-08
0.10864321608040202,a_E,2,-1,1.083652238064095e-08,-0.00010409688681930336,1.0835880383791087e-08,-0.00010409553432484404,1.2992820615583444e-05
0.10864321608040202,a_E,2,1,-1.0836522380648842e-08,0.00010409688681930332,-1.0835880383791087e-08,0.00010409553432484404,1.2992820615192901e-05
0.10864321608040202,a_M,1,-1,-3.2012537596247644e-07,0.0005657974292128513,-3.2012439683670025e-07,0.0005657952760116249,3.8056187381391138e-06
0.10864321608040202,a_M,1,1,-3.201253759624719e-07,0.0005657974292128513,-3.2012439683670025e-07,0.0005657952760116249,3.8056187381391104e-06
0.1135678391959799,a_E,1,-1,0.00040080687334730243,-0.02001614726149969,0.000400806878429708,-0.020016149286911093,1.0116890153958301e-07
0.1135678391959799,a_E,1,1,-0.00040080687334730254,0.02001614726149969,-0.000400806878429708,0.020016149286911093,1.011689015395694e-07
0.1135678391959799,a_E,2,-1,1.686893193584217e-08,-0.0001298782539805914,1.6867924316815497e-08,-0.0001298765722995823,1.2948303662556304e-05
0.1135678391959799,a_E,2,1,-1.686893193584347e-08,0.00012987825398059138,-1.6867924316815497e-08,0.0001298765722995823,1.2948303662347612e-05
0.1135678391959799,a_M,1,-1,-5.034351388577356e-07,0.0007095330390116317,-5.034336352596792e-07,0.0007095303952715867,3.726041653390724e-06
0.1135678391959799,a_M,1,1,-5.034351388577361e-07,0.0007095330390116316,-5.034336352596792e-07,0.0007095303952715867,3.7260416532379186e-06
0.1184924623115578,a_E,1,-1,0.0005204612950823579,-0.022807680726662737,0.0005204613102319393,-0.022807683579366207,1.2504563288130245e-07
0.1184924623115578,a_E,1,1,-0.000520461295082358,0.022807680726662737,-0.0005204613102319393,0.022807683579366207,1.2504563288127723e-07
