x_alaee,lambda_nm,freq_THz,normalization_lambda2_over_2pi_m2,paper_trace_role,comsol_ED_m2,comsol_ED_normalized,surrogate_ED_normalized,paper_ED_normalized,paper_ED_colour_strength,comsol_MD_m2,comsol_MD_normalized,surrogate_MD_normalized,paper_MD_normalized,paper_MD_colour_strength,comsol_EQ_m2,comsol_EQ_normalized,surrogate_EQ_normalized,paper_EQ_normalized,paper_EQ_colour_strength,comsol_MQ_m2,comsol_MQ_normalized,surrogate_MQ_normalized,paper_MQ_normalized,paper_MQ_colour_strength
0.26,1923.076923076923,155.89207815999995,5.885907658723942e-13,descriptive_only_not_vector_trace,4.453410959253138e-13,0.7566226345145605,2.2057743283716067,0.695364238,1.0,1.5334226671037835e-15,0.0026052441798521653,0.1319508160657996,0.185430464,0.0,3.0906660400700596e-15,0.005250959103120066,0.002900029849779509,0.11589404,0.0,1.5352637760170758e-16,0.00026083721747512415,0.00039350446538047226,0.069536424,0.719984571
0.28,1785.7142857142856,167.88377648,5.075093848593601e-13,descriptive_only_not_vector_trace,5.777939744370871e-13,1.1384892411343372,3.3149568260514957,1.042119205,1.0,5.711201039473774e-15,0.011253390005894077,0.19114281259461918,0.185430464,0.0,7.491159525838248e-15,0.014760632511089786,0.006130740142965864,0.11589404,0.0,2.822673647549783e-16,0.0005561815666388113,0.0007829749997597391,0.069536424,1.0
0.3,1666.6666666666667,179.87547479999998,4.4209706414415387e-13,descriptive_only_not_vector_trace,6.904425178880908e-13,1.5617441821847506,4.6446220288281035,1.412362031,1.0,1.9826355958247005e-14,0.044846160642637196,0.26811157899124816,0.185430464,0.0,1.9299159359428748e-14,0.043653670030108824,0.01235717634709207,0.11589404,1.0,4.684197500312009e-16,0.001059540512755959,0.0014753426127949224,0.069536424,1.0
0.32,1562.5,191.86717311999996,3.8856187278294763e-13,descriptive_only_not_vector_trace,7.591572533711348e-13,1.9537615668102448,6.066157731906609,1.826799117,1.0,7.269231975031186e-14,0.18708042358782356,0.3657245135664066,0.185430464,0.828034422,5.663525823497875e-14,0.1457560872592753,0.023917077491791512,0.11589404,1.0,7.003590720098112e-16,0.001802438996378409,0.002651441496623966,0.069536424,1.0
0.34,1470.5882352941176,203.85887144,3.441932160291855e-13,descriptive_only_not_vector_trace,7.840213705074421e-13,2.2778524793497437,7.417623817628227,2.155629139,1.0,3.292593170175789e-13,0.9566118728779934,0.4867844952336071,0.715761589,1.0,2.1529083779071295e-13,0.6254941345864806,0.044716411288123564,0.620264901,1.0,9.639926542558553e-16,0.002800731128222221,0.0045699195073970866,0.069536424,1.0
0.36,1388.888888888889,215.85056975999996,3.070118501001068e-13,descriptive_only_not_vector_trace,7.813659852055861e-13,2.545067836797855,8.571666025343315,2.407196468,1.0,1.7458390870533132e-12,5.686552771445306,0.6339785737897263,2.989448124,1.0,9.884841058704483e-13,3.219693655303973,0.08117906689025894,1.724812362,1.0,1.2577710003178206e-15,0.00409681580664623,0.0075852324518172025,0.069536424,1.0
0.38,1315.7894736842104,227.84226807999997,2.755452615856914e-13,descriptive_only_not_vector_trace,7.649335524955532e-13,2.7760722434258507,9.455870415444238,2.607152318,1.0,1.441581127100671e-12,5.231739855749092,0.8098614953184682,3.574481236,1.0,7.220776282926285e-13,2.6205409018368138,0.14369406272551755,1.80794702,1.0,1.5906969447211433e-15,0.005772906184512467,0.01217489961749859,0.069536424,1.0
0.4,1250.0,239.83396639999992,2.486795985810865e-13,descriptive_only_not_vector_trace,7.342900753505741e-13,2.9527555920963313,10.06724998916983,2.688741722,1.0,6.689616799852078e-13,2.690054527199507,1.0167256361293497,2.30397351,1.0,3.0066199300365306e-13,1.209033610795446,0.24889458002299197,1.029139073,1.0,1.9584044225636662e-15,0.00787521145175523,0.018955197431929086,0.069536424,1.0
0.42,1190.4761904761906,251.82566471999996,2.255597266041601e-13,descriptive_only_not_vector_trace,6.909832153304226e-13,3.0634157335322754,10.439224602396507,2.82781457,1.0,4.304763193035788e-13,1.908480409089303,1.256663670225801,1.738410596,1.0,1.7531597064653718e-13,0.7772485509091043,0.42303875318143963,0.741721854,1.0,2.336174470505595e-15,0.010357232231467459,0.02870711598185981,0.069536424,1.0
