x_alaee,x_mie,C_pathB,C_mie_l12,B_ED,M_ED,B_MD,M_MD,B_EQ,M_EQ,B_MQ,M_MQ
0.02,0.06283185307179587,3.330339969509781e-08,3.330338633100406e-08,3.330335798243797e-08,3.330334461877701e-08,3.926868977622071e-14,3.926832316414139e-14,2.443969245180273e-15,2.4439030474316424e-15,8.243419034091066e-22,8.3112336574903565e-22
0.02492462311557789,0.07830301287339385,1.2492984141582618e-07,1.2492979278068378e-07,1.249294639374167e-07,1.2492941530617744e-07,3.553985862854909e-13,3.553952805866998e-13,2.2079805126984574e-14,2.2079207604693542e-14,1.8030105253684703e-20,1.8125032566777436e-20
0.029849246231155778,0.09377417267499182,3.69155314411069e-07,3.691551760649322e-07,3.6915301973538346e-07,3.6915288141287347e-07,2.160726943054589e-12,2.160706936340889e-12,1.3394851698517265e-13,1.33944896015622e-13,2.2555269508805263e-19,2.263758293742018e-19
0.03477386934673367,0.1092453324765898,9.24633416736433e-07,9.2463308597588e-07,9.246228279868591e-07,9.246224973347881e-07,9.9721367161608e-12,9.972044876482213e-12,6.16610941173265e-13,6.165942938614993e-13,1.91638483827455e-18,1.9215056650170077e-18
0.03969849246231156,0.12471649227818778,2.0514750724986415e-06,2.051474378644787e-06,2.0514351581286976e-06,2.0514344646814084e-06,3.7596535025001593e-11,3.759619092048845e-11,2.317822659923326e-12,2.3177601745723582e-12,1.2258608610852915e-17,1.2283569862496417e-17
0.04462311557788945,0.14018765207978576,4.148395248205072e-06,4.148393935953646e-06,4.148266359990059e-06,4.1482650490428754e-06,1.214274351386654e-10,1.2142633159504664e-10,7.46071676797622e-12,7.460515967619611e-12,6.310659203533278e-17,6.320752296893881e-17
0.04954773869346733,0.1556588118813837,7.796330170602133e-06,7.796327893255746e-06,7.795961845245987e-06,7.795959571599363e-06,3.4708067107368063e-10,3.470775416970212e-10,2.1244411419831545e-11,2.1243840681319185e-11,2.736536166165207e-16,2.740056444193693e-16
0.05447236180904523,0.17112997168298172,1.3808876535535487e-05,1.380887286749398e-05,1.3807923099614639e-05,1.3807919441072138e-05,8.986606175711705e-10,8.986525860712089e-10,5.4774270551531034e-11,5.4772801955504026e-11,1.0327245962509321e-15,1.0338136498043334e-15
0.059396984924623114,0.18660113148457966,2.3289955317858315e-05,2.328994979853751e-05,2.3287680896353327e-05,2.328767539948912e-05,2.1443259357503425e-09,2.1443069565642877e-09,1.300920946745483e-10,1.3008861421169307e-10,3.4745639704816523e-15,3.4776147328451452e-15
0.06432160804020101,0.20207229128617768,3.769915515339437e-05,3.769914737773705e-05,3.7694089224926894e-05,3.769408149879797e-05,4.777545945130894e-09,4.777504106018336e-09,2.8837190745538744e-10,2.8836421032016585e-10,1.0614878148437016e-14,1.0622739058380437e-14
0.0692462311557789,0.21754345108777562,5.892526369767579e-05,5.892525347156167e-05,5.891462018001413e-05,5.891461005685121e-05,1.0040778393016646e-08,1.0040691470434371e-08,6.027093991067321e-10,6.026933516261619e-10,2.9869538376756394e-14,2.988839863186801e-14
0.07417085427135679,0.2330146108893736,8.936854957837511e-05,8.936853716047532e-05,8.934728454974929e-05,8.93472723351717e-05,2.0067581236313438e-08,2.0067409668528842e-08,1.1973690896670026e-09,1.197337292708428e-09,7.82998295251259e-14,7.834237376077533e-14
0.07909547738693468,0.24848577069097158,0.00013203241210327953,0.00013203239855816797,0.00013199174525643732,0.00013199173209533802,3.839078443356598e-08,3.8390460600603775e-08,2.275869442170361e-09,2.275809171913742e-09,1.929664875970997e-13,1.9305742569153694e-13
