panel,channel,x_alaee,grid_coarse,grid_refined,coarse,refined,relative_difference
a,ED,0.2,40x30x60,60x61x120,0.04115285709616335,0.041153179294589365,7.82924749772807e-06
a,MD,0.2,40x30x60,60x61x120,0.0005796465577708127,0.0005796120515391885,5.953332325057766e-05
a,EQ,0.2,40x30x60,60x61x120,2.3910354884003992e-05,2.3900968721998747e-05,0.0003927105262727505
a,MQ,0.2,40x30x60,60x61x120,9.312376518957752e-08,9.320793469403944e-08,0.0009030293905579835
a,ED,0.20402010050251257,40x30x60,60x61x120,0.04668458971894401,0.04668498523106157,8.471934083439278e-06
a,MD,0.20402010050251257,40x30x60,60x61x120,0.0007225736181134026,0.0007225311137218122,5.882707440986322e-05
a,EQ,0.20402010050251257,40x30x60,60x61x120,2.9165160479411602e-05,2.915363606818575e-05,0.00039529927583988007
a,MQ,0.20402010050251257,40x30x60,60x61x120,1.237432235256244e-07,1.2384842166122796e-07,0.0008494103856350784
a,ED,0.20804020100502513,40x30x60,60x61x120,0.05283182635404481,0.052832308774832255,9.131169896411209e-06
a,MD,0.20804020100502513,40x30x60,60x61x120,0.0008981069249354758,0.0008980547341263542,5.811539891538269e-05
a,EQ,0.20804020100502513,40x30x60,60x61x120,3.543828571500802e-05,3.5424182960101176e-05,0.0003981109436659497
a,MQ,0.20804020100502513,40x30x60,60x61x120,1.6357032163316645e-07,1.6370108025256084e-07,0.00079876454811815
a,ED,0.2120603015075377,40x30x60,60x61x120,0.05964796408924083,0.059648549081334275,9.807314720250914e-06
a,MD,0.2120603015075377,40x30x60,60x61x120,0.0011132302811372038,0.0011131663864598518,5.7399035875642196e-05
a,EQ,0.2120603015075377,40x30x60,60x61x120,4.290191877398892e-05,4.288471500072552e-05,0.0004011632877379581
a,MQ,0.2120603015075377,40x30x60,60x61x120,2.151309805854171e-07,2.1529263880932927e-07,0.0007508766895431378
a,ED,0.21608040201005027,40x30x60,60x61x120,0.06718932008817405,0.06719002563373047,1.050074843354292e-05
a,MD,0.21608040201005027,40x30x60,60x61x120,0.0013763677048674566,0.001376289698487052,5.667875047698695e-05
a,EQ,0.21608040201005027,40x30x60,60x61x120,5.175335120051783e-05,5.173242670137132e-05,0.0004044754998117409
a,MQ,0.21608040201005027,40x30x60,60x61x120,2.8158205219995593e-07,2.817808638219775e-07,0.0007055540228138098
a,ED,0.22010050251256283,40x30x60,60x61x120,0.0755150713384402,0.07551591801312804,1.1211870425767184e-05
a,MD,0.22010050251256283,40x30x60,60x61x120,0.0016976799629809837,0.0016975849740509493,5.595533153649651e-05
a,EQ,0.22010050251256283,40x30x60,60x61x120,6.221809547469956e-05,6.219271659678335e-05,0.0004080683286557526
a,MQ,0.22010050251256283,40x30x60,60x61x120,3.668547446751329e-07,3.6709799268107015e-07,0.0006626241787941131
a,ED,0.2241206030150754,40x30x60,60x61x120,0.08468715373866645,0.08468816500837578,1.1941098372286028e-05
a,MD,0.2241206030150754,40x30x60,60x61x120,0.002089424607684509,0.002089309215996503,5.5229588383815346e-05
a,EQ,0.2241206030150754,40x30x60,60x61x120,7.455332994019687e-05,7.452262928380137e-05,0.00041196421396496403
a,MQ,0.2241206030150754,40x30x60,60x61x120,4.758277942802709e-07,4.7612391170916966e-07,0.0006219335379224323
a,ED,0.22814070351758794,40x30x60,60x61x120,0.09477011522373574,0.0947713177643017,1.2688866149878318e-05
a,MD,0.22814070351758794,40x30x60,60x61x120,0.0025663941212092844,0.0025662542543294455,5.4502346991888796e-05
a,EQ,0.22814070351758794,40x30x60,60x61x120,8.905170049356314e-05,8.901465371345996e-05,0.000416187431593326
a,MQ,0.22814070351758794,40x30x60,60x61x120,6.145360568103432e-07,6.148947531089463e-07,0.0005833458438041155
a,ED,0.23216080402010053,40x30x60,60x61x120,0.10583091757642697,0.10583234161626018,1.3455620573619218e-05
a,MD,0.23216080402010053,40x30x60,60x61x120,0.003146450429836228,0.003146281240307758,5.377444530469753e-05
a,EQ,0.23216080402010053,40x30x60,60x61x120,0.00010604551085481275,0.00010600090946158096,0.0004207642505931277
a,MQ,0.23216080402010053,40x30x60,60x61x120,7.904212051301859e-07,7.908535972744107e-07,0.0005467410728293089
a,ED,0.2361809045226131,40x30x60,60x61x120,0.11793868166385972,0.11794036134885653,1.4241816606321486e-05
a,MD,0.2361809045226131,40x30x60,60x61x120,0.0038511786995352577,0.0038509744179440484,5.304672766908575e-05
a,EQ,0.2361809045226131,40x30x60,60x61x120,0.00012591133585530408,0.0001258577553012738,0.00042572310225947604
a,MQ,0.2361809045226131,40x30x60,60x61x120,1.0126324059947857e-06,1.0131511541172606e-06,0.0005120145403445451
a,ED,0.24020100502512565,40x30x60,60x61x120,0.13116437110027168,0.1311663448796903,1.5047910502039263e-05
a,MD,0.24020100502512565,40x30x60,60x61x120,0.004706689261628612,0.004706443020349436,5.232003832010629e-05
a,EQ,0.24020100502512565,40x30x60,60x61x120,0.00014907509502176254,0.0001490108572218866,0.0004310947609695208
a,MQ,0.24020100502512565,40x30x60,60x61x120,1.2923862405525987e-06,1.293005688843221e-06,0.00047907622987826827
a,ED,0.2442211055276382,40x30x60,60x61x120,0.14558040980684722,0.14558272083794602,1.587435023533836e-05
a,MD,0.2442211055276382,40x30x60,60x61x120,0.005744604118933071,0.00574430774014673,5.159521386185139e-05
a,EQ,0.2442211055276382,40x30x60,60x61x120,0.00017601762682632524,0.00017594075610442028,0.00043691253582730014
a,MQ,0.2442211055276382,40x30x60,60x61x120,1.6433967640651543e-06,1.6441330896244748e-06,0.00044785033764425963
a,ED,0.24824120603015076,40x30x60,60x61x120,0.16126022964704798,0.1612629262151192,1.6721562323805878e-05
a,MD,0.24824120603015076,40x30x60,60x61x120,0.0070032742500208646,0.007002917990050825,5.087307470193595e-05
a,EQ,0.24824120603015076,40x30x60,60x61x120,0.00020728080733629437,0.00020718897859711406,0.00044321247105942087
a,MQ,0.24824120603015076,40x30x60,60x61x120,2.0823885134368347e-06,2.083259889030121e-06,0.0004182750303381508
a,ED,0.2522613065326633,40x30x60,60x61x120,0.17827774529208826,0.17828088124100025,1.7589933873799977e-05
a,MD,0.2522613065326633,40x30x60,60x61x120,0.008529286516916288,0.008528858756991215,5.0154415410226056e-05
a,EQ,0.2522613065326633,40x30x60,60x61x120,0.00024347426066055828,0.00024336473836309008,0.0004500335513059962
a,MQ,0.2522613065326633,40x30x60,60x61x120,2.629707515915416e-06,2.6307342978788406e-06,0.00039030242022260365
a,ED,0.2562814070351759,40x30x60,60x61x120,0.19670675474078772,0.19671038990715048,1.8479788304392944e-05
a,MD,0.2562814070351759,40x30x60,60x61x120,0.010379335249987921,0.010378822121084631,4.943999398999783e-05
a,EQ,0.2562814070351759,40x30x60,60x61x120,0.00028528271258189766,0.0002851522788237903,0.0004574179054272357
a,MQ,0.2562814070351759,40x30x60,60x61x120,3.310047987837519e-06,3.3112529487061917e-06,0.00036389876803088437
a,ED,0.26030150753768844,40x30x60,60x61x120,0.2166202654979347,0.21662446613935127,1.939135265481184e-05
a,MD,0.26030150753768844,40x30x60,60x61x120,0.012622554660738949,0.012621939587058414,4.873052008308065e-05
a,EQ,0.26030150753768844,40x30x60,60x61x120,0.00033347404311751585,0.0003333189128294726,0.00046541099851310513
a,MQ,0.26030150753768844,40x30x60,60x61x120,4.153315508706145e-06,4.154724146869802e-06,0.0003390449314713089
a,ED,0.264321608040201,40x30x60,60x61x120,0.238089748311225,0.23809458751555576,2.032471372511598e-05
a,MD,0.264321608040201,40x30x60,60x61x120,0.015343435592175339,0.015342698733873774,4.8026642140723215e-05
a,EQ,0.264321608040201,40x30x60,60x61x120,0.0003889080984988458,0.0003887238193868708,0.0004740617960217756
a,MQ,0.264321608040201,40x30x60,60x61x120,5.195651096701982e-06,5.197292074553647e-06,0.0003157370854141009
a,ED,0.26834170854271355,40x30x60,60x61x120,0.26118432256979063,0.26118988062758597,2.1279759315275956e-05
a,MD,0.26834170854271355,40x30x60,60x61x120,0.01864548567129004,0.018644603242100124,4.732893365756111e-05
a,EQ,0.26834170854271355,40x30x60,60x61x120,0.0004525463282428082,0.00045232766270344435,0.00048342287548138157
a,MQ,0.26834170854271355,40x30x60,60x61x120,6.480644896512811e-06,6.482550686999789e-06,0.0002939877494208798
a,ED,0.27236180904522617,40x30x60,60x61x120,0.28596987995009576,0.285976244665874,2.225609957808653e-05
a,MD,0.27236180904522617,40x30x60,60x61x120,0.022655838139698303,0.022654781568747433,4.663787852745175e-05
a,EQ,0.27236180904522617,40x30x60,60x61x120,0.000525462318638744,0.0005252031044109446,0.0004935504486212664
a,MQ,0.27236180904522617,40x30x60,60x61x120,8.060773238049306e-06,8.06298110134146e-06,0.00027382716943069466
a,ED,0.2763819095477387,40x30x60,60x61x120,0.31250815560921,0.3125154225183706,2.3252961732340586e-05
a,MD,0.2763819095477387,40x30x60,60x61x120,0.02753107461899055,0.02752980951809599,4.5953855718790246e-05
a,EQ,0.2763819095477387,40x30x60,60x61x120,0.0006088533001367303,0.0006085462859562375,0.0005045042383429471
a,MQ,0.2763819095477387,40x30x60,60x61x120,9.999098777529728e-06,1.0001652250488672e-05,0.0002553051130946314
a,ED,0.2804020100502513,40x30x60,60x61x120,0.34085575909913235,0.3408640315450309,2.426904904303117e-05
a,MD,0.2804020100502513,40x30x60,60x61x120,0.03346460464889799,0.03346308953646355,4.527712340467783e-05
a,EQ,0.2804020100502513,40x30x60,60x61x120,0.0007040527128301193,0.0007036893648476431,0.0005163471279048168
a,MQ,0.2804020100502513,40x30x60,60x61x120,1.2371280461205592e-05,1.2374231630717567e-05,0.00023849315254845813
a,ED,0.28442211055276384,40x30x60,60x61x120,0.37106318011228756,0.37107256912094083,2.5302351708490188e-05
a,MD,0.28442211055276384,40x30x60,60x61x120,0.04069604452478022,0.04069422924462771,4.4607802781944525e-05
a,EQ,0.28442211055276384,40x30x60,60x61x120,0.0008125439215065482,0.0008121141957790374,0.000529144459910179
a,MQ,0.28442211055276384,40x30x60,60x61x120,1.5267948361653522e-05,1.5271361320374706e-05,0.0002234875234488953
a,ED,0.2884422110552764,40x30x60,60x61x120,0.4031737870465958,0.40318441091267226,2.6349892974351067e-05
a,MD,0.2884422110552764,40x30x60,60x61x120,0.04952316461782102,0.04952098837530876,4.394586181856012e-05
a,EQ,0.2884422110552764,40x30x60,60x61x120,0.0009359751796113777,0.000935467255686676,0.0005429628045386151
a,MQ,0.2884422110552764,40x30x60,60x61x120,1.879750827383479e-05,1.8801464340022496e-05,0.00021041266340535844
a,ED,0.29246231155778896,40x30x60,60x61x120,0.43722283905595377,0.43723482252029955,2.740738781211984e-05
a,MD,0.29246231155778896,40x30x60,60x61x120,0.06031713229642552,0.06031452121450409,4.3291099205470644e-05
a,EQ,0.29246231155778896,40x30x60,60x61x120,0.0010761759499101338,0.0010755759205964205,0.000557867931238672
a,MQ,0.29246231155778896,40x30x60,60x61x120,2.3089452620723526e-05,2.3094058165810763e-05,0.0001994255428894261
a,ED,0.2964824120603015,40x30x60,60x61x120,0.47323653456916004,0.4732500074212199,2.846878362093685e-05
a,MD,0.2964824120603015,40x30x60,60x61x120,0.07354196842780673,0.07353883250190003,4.264312880706724e-05
a,EQ,0.2964824120603015,40x30x60,60x61x120,0.0012351746985866247,0.0012344662117708427,0.0005739215938244898
a,MQ,0.2964824120603015,40x30x60,60x61x120,2.8298268066341947e-05,2.8303666167050576e-05,0.0001907209008461612
a,ED,0.3005025125628141,40x30x60,60x61x120,0.5112311210484797,0.5112462159211649,2.952564188285029e-05
a,MD,0.3005025125628141,40x30x60,60x61x120,0.08977935373002771,0.08977558303300527,4.200136490401473e-05
a,EQ,0.3005025125628141,40x30x60,60x61x120,0.0014152182888181191,0.001414382139252915,0.0005911765582997134
a,MQ,0.3005025125628141,40x30x60,60x61x120,3.460804670454411e-05,3.461443436477783e-05,0.00018453747261614446
a,ED,0.3045226130653267,40x30x60,60x61x120,0.551212091849902,0.5512289408825143,3.0566306234314354e-05
a,MD,0.3045226130653267,40x30x60,60x61x120,0.10976014531946081,0.10975560527790876,4.136500856202369e-05
a,EQ,0.3045226130653267,40x30x60,60x61x120,0.0016187931092320458,0.0016178067825203379,0.0006096690422890767
a,MQ,0.3045226130653267,40x30x60,60x61x120,4.223792731752673e-05,4.2245580747765564e-05,0.00018116522730577515
a,ED,0.30854271356783924,40x30x60,60x61x120,0.5931734962847452,0.5931922262021633,3.1574785694582386e-05
a,MD,0.30854271356783924,40x30x60,60x61x120,0.13440413839743767,0.1343986639319061,4.073303536958318e-05
a,EQ,0.30854271356783924,40x30x60,60x61x120,0.001848648081542832,0.0018474852607143957,0.0006294073642496555
a,MQ,0.30854271356783924,40x30x60,60x61x120,5.1448516632077646e-05,5.1457828104893854e-05,0.0001809534750908286
a,ED,0.3125628140703518,40x30x60,60x61x120,0.637097388235677,0.6371181132182302,3.252926282152976e-05
a,MD,0.3125628140703518,40x30x60,60x61x120,0.16486961151956778,0.1648629998233489,4.010418484415699e-05
a,EQ,0.3125628140703518,40x30x60,60x61x120,0.002107819699210086,0.002106449758900823,0.0006503550837014964
a,MQ,0.3125628140703518,40x30x60,60x61x120,6.254946855240563e-05,6.256099975795868e-05,0.00018431939383426615
a,ED,0.31658291457286436,40x30x60,60x61x120,0.6829534368557043,0.6829762483432563,3.3400118389688764e-05
a,MD,0.31658291457286436,40x30x60,60x61x120,0.20261377894619048,0.20260578068757384,3.947695169157487e-05
a,EQ,0.31658291457286436,40x30x60,60x61x120,0.002399659253748936,0.00239804679217435,0.0006724062181972795
a,MQ,0.31658291457286436,40x30x60,60x61x120,7.59084330299144e-05,7.592299171482004e-05,0.00019175594344769808
a,ED,0.3206030150753769,40x30x60,60x61x120,0.7306987200189944,0.7307236722105924,3.414723314293641e-05
a,MD,0.3206030150753769,40x30x60,60x61x120,0.24946396419911815,0.24945427304353895,3.8849427035082575e-05
a,EQ,0.3206030150753769,40x30x60,60x61x120,0.0027278624028355147,0.002725966906222856,0.0006953483581666075
a,MQ,0.3206030150753769,40x30x60,60x61x120,9.19616267677867e-05,9.198037585048975e-05,0.00020383785703949556
a,ED,0.3246231155778895,40x30x60,60x61x120,0.7802777165065421,0.7803048064935025,3.471718581636539e-05
a,MD,0.3246231155778895,40x30x60,60x61x120,0.30769623443193045,0.3076844747619013,3.8219900559634875e-05
a,EQ,0.3246231155778895,40x30x60,60x61x120,0.003096501243352411,0.003094277031674362,0.000718814655339879
a,MQ,0.3246231155778895,40x30x60,60x61x120,0.00011122632767374149,0.00011125093831314403,0.00022121736477643628
a,ED,0.32864321608040203,40x30x60,60x61x120,0.8316225095499453,0.831651649432877,3.5038568072941645e-05
a,MD,0.32864321608040203,40x30x60,60x61x120,0.38011189002482076,0.38009760369503304,3.758595068436585e-05
a,EQ,0.32864321608040203,40x30x60,60x61x120,0.0035100589860603245,0.00350745572906186,0.0007422066590590433
a,MQ,0.32864321608040203,40x30x60,60x61x120,0.000134315653772533,0.0001343485172996902,0.00024461399215820105
a,ED,0.3326633165829146,40x30x60,60x61x120,0.8846532052713793,0.8846841850802728,3.501793003199079e-05
a,MD,0.3326633165829146,40x30x60,60x61x120,0.47009020132126783,0.4700728344587861,3.694504597720689e-05
a,EQ,0.3326633165829146,40x30x60,60x61x120,0.003973467377460262,0.003970431584601944,0.000764600218800296
